"dateid01","g","u","man","ser","man_wt","ser_wt"
1/1/1999,2.6,5.7345,-0.371,5.4612,0.3148,0.6852
4/1/1999,3.07,5.4666,-7.8179,4.9455,0.2952,0.7048
7/1/1999,4.26,6.0403,6.7586,0.4357,0.2744,0.7256
10/1/1999,6.22,5.8288,9.4116,0.711,0.2542,0.7458
1/1/2000,4.79,5.8204,5.682,6.1324,0.3139,0.6861
4/1/2000,5.44,4.99,6.5905,0.3246,0.308,0.692
7/1/2000,9.3,5.024,15.4458,3.2831,0.2972,0.7028
10/1/2000,5.52,4.9935,28.8259,-2.3527,0.3102,0.6898
1/1/2001,1.6935,4.9594,-9.6276,4.1488,0.2842,0.7158
4/1/2001,-1.3556,4.496,-8.2862,4.1845,0.2815,0.7185
7/1/2001,2.0269,4.7938,-12.6,7.5302,0.2557,0.7443
10/1/2001,-2.2367,5.1229,-15.1446,0.8858,0.2745,0.7255
1/1/2002,4.5465,5.3324,4.4843,4.7464,0.2837,0.7163
4/1/2002,1.9619,4.9076,-0.1958,-0.1832,0.2815,0.7185
7/1/2002,1.1664,5.1461,6.5226,-1.629,0.2712,0.7288
10/1/2002,2.3057,5.1797,6.7389,3.1073,0.2814,0.7186
1/1/2003,-0.863,5.1908,-1.9763,0.9219,0.2778,0.7222
4/1/2003,-0.6653,4.9667,-4.5965,1.0597,0.27,0.73
7/1/2003,0.6439,5.4386,-5.6469,4.2156,0.252,0.748
10/1/2003,3.6434,5.6346,2.4415,1.6271,0.283,0.717
1/1/2004,1.6159,5.7848,-5.5931,0.2044,0.266,0.734
4/1/2004,-1.5505,5.4362,-11.6839,1.8455,0.2428,0.7572
7/1/2004,-0.4683,5.5518,-13.47,1.2465,0.2236,0.7764
10/1/2004,-0.6065,5.5562,-8.0276,1.2493,0.2639,0.7361
1/1/2005,0.1803,5.5065,-5.9244,3.2947,0.2481,0.7519
4/1/2005,5.1623,4.7538,1.0736,4.09,0.2375,0.7625
7/1/2005,4.0008,4.9018,6.8301,0.9546,0.2335,0.7665
10/1/2005,4.7977,5.0537,0.7015,5.7512,0.2546,0.7454
1/1/2006,4.261,5.2476,-0.2665,4.932,0.2388,0.7612
4/1/2006,2.7637,4.7907,2.2107,2.5026,0.2369,0.7631
7/1/2006,2.5157,4.851,-0.3156,4.3667,0.2254,0.7746
10/1/2006,1.001,4.8543,4.5061,1.2128,0.2607,0.7393
1/1/2007,5.8351,4.7425,9.4244,5.8455,0.2449,0.7551
4/1/2007,2.8269,4.2572,2.9371,3.8331,0.2354,0.7646
7/1/2007,3.9298,4.4225,2.2154,5.1117,0.2206,0.7794
10/1/2007,3.8134,4.1349,-3.544,5.0842,0.2445,0.7555
1/1/2008,2.5873,4.0978,1.6639,4.9469,0.239,0.761
4/1/2008,5.2521,3.857,6.2166,7.0314,0.234,0.766
7/1/2008,4.9632,3.9965,4.1674,5.8758,0.2178,0.7822
10/1/2008,2.6599,4.1958,4.0944,2.2999,0.2477,0.7523
1/1/2009,-2.8713,4.6526,-3.7465,-3.1062,0.2378,0.7622
4/1/2009,-4.2916,4.7618,-11.8711,-3.1061,0.2174,0.7826
7/1/2009,-4.1982,4.9252,-9.1866,-3.1549,0.207,0.793
10/1/2009,0.1425,5.0484,-10.3154,2.0319,0.2245,0.7755
1/1/2010,4.4081,4.9611,-3.6722,5.7133,0.2214,0.7786
4/1/2010,3.5293,4.4283,5.3896,5.8655,0.2167,0.7833
7/1/2010,3.8545,4.3156,5.7087,5.1691,0.2079,0.7921
10/1/2010,4.3766,4.2884,0.4991,4.2872,0.2181,0.7819
1/1/2011,3.1495,4.3092,2.2359,4.3483,0.2179,0.7821
4/1/2011,2.371,3.975,-6.6035,2.3779,0.2015,0.7985
7/1/2011,1.4383,4.1648,-10.7867,2.1957,0.1864,0.8136
10/1/2011,-0.4322,4.1944,-9.2886,3.0694,0.1971,0.8029
1/1/2012,-0.9948,4.4066,-15.3955,1.6236,0.1883,0.8117
4/1/2012,1.0324,4.2318,-5.7313,2.6886,0.1881,0.8119
7/1/2012,1.467,4.3106,0.065,3.2142,0.1817,0.8183
10/1/2012,1.4941,4.2629,3.2027,3.2188,0.1971,0.8029
