"sold","date_auctn","years_old","rhammer","inchsq","signed","creation","age","yob","drec"
1,2008.75,104.75,0.17327,81.04,1,1904,39,1865,1
0,2008.42004394531,101.419998168945,,328.6,1,1907,42,1865,1
0,2007.92004394531,105.919998168945,,80,1,1902,37,1865,0
1,2007.92004394531,86.9199981689453,254.54539,480,1,1921,56,1865,0
1,2007.92004394531,84.9199981689453,325.69951,843.64,1,1923,58,1865,0
1,2007.92004394531,82.9199981689453,156.53906,1353,1,1925,60,1865,0
1,2007.75,93.75,14.94241,96.75,1,1914,49,1865,0
1,2007.75,98.75,0.4605,197.625,1,1909,44,1865,0
1,2007.5,92.5,1.05945,136.5,1,1915,50,1865,0
0,2007.42004394531,105.419998168945,,837.2,0,1902,37,1865,0
1,2007.42004394531,83.4199981689453,227.04821,480,1,1924,59,1865,0
1,2007.42004394531,81.4199981689453,186.68408,462.95,1,1926,61,1865,0
1,2007.42004394531,95.4199981689453,47.9324,480,1,1912,47,1865,0
1,2007.42004394531,92.4199981689453,40.36413,480,1,1915,50,1865,0
1,2007.42004394531,109.419998168945,32.79585,826.575,0,1898,33,1865,0
1,2007.32995605469,81.3300018310547,0.67958,188,1,1926,61,1865,0
1,2006.92004394531,91.9199981689453,87.81748,480,1,1915,50,1865,0
1,2006.92004394531,108.919998168945,33.57727,57.04,1,1898,33,1865,0
1,2006.92004394531,82.9199981689453,194.92036,480,1,1924,59,1865,0
1,2006.5,108.5,19.82161,492,1,1898,33,1865,0
1,2006.42004394531,93.4199981689453,147.217,480,1,1913,48,1865,0
1,2006.42004394531,91.4199981689453,31.10218,480,1,1915,50,1865,0
1,2006.42004394531,107.419998168945,8.81229,854.4,1,1899,34,1865,0
1,2005.92004394531,104.919998168945,10.53486,57.66,1,1901,36,1865,0
1,2005.75,99.75,9.97288,838.4,0,1906,41,1865,0
1,2005.42004394531,93.4199981689453,0.32197,134,1,1912,47,1865,0
1,2005.25,93.25,0.23822,132,1,1912,47,1865,0
1,2005,79,206.61813,480,1,1926,61,1865,0
1,2005,91,161.12132,480,1,1914,49,1865,0
0,2004.42004394531,98.4199981689453,,617.05,0,1906,41,1865,0
0,2004.42004394531,98.4199981689453,,838.4,0,1906,41,1865,0
1,2004,111,23.52748,440.44,0,1893,28,1865,0
1,2003.82995605469,104.830001831055,8.8046,24.4,1,1899,34,1865,0
1,2003.5,109.5,2.82359,54,0,1894,29,1865,0
1,2003.42004394531,81.4199981689453,465.23187,480,1,1922,57,1865,0
1,2003.42004394531,85.4199981689453,7.98726,246.25,1,1918,53,1865,0
1,2003.42004394531,85.4199981689453,13.40718,240,1,1918,53,1865,0
0,2002.92004394531,114.919998168945,,35,1,1888,23,1865,0
1,2002.42004394531,85.4199981689453,23.15611,400.4,1,1917,52,1865,0
0,2002.32995605469,84.3300018310547,,832,1,1918,53,1865,0
1,2001.92004394531,73.9199981689453,31.66197,568.83,1,1928,63,1865,1
1,2001.25,98.25,10.56938,45.6,1,1903,38,1865,1
1,2000.92004394531,93.9199981689453,26.39645,288,1,1907,42,1865,0
0,2000,81,,480,1,1919,54,1865,0
1,2000,85,60.58811,480,1,1915,50,1865,0
1,1999.82995605469,81.8300018310547,8.92326,250,1,1918,53,1865,0
1,1999.42004394531,83.4199981689453,136.91128,480,1,1916,51,1865,0
1,1999.25,93.25,2.12379,28.8,1,1906,41,1865,0
1,1999.25,97.25,16.68953,832,1,1902,37,1865,0
1,1998.42004394531,73.4199981689453,69.04842,480,1,1925,60,1865,0
0,1998.42004394531,71.4199981689453,,564.81,1,1927,62,1865,0
0,1998.32995605469,73.3300018310547,,832,1,1925,60,1865,0
1,1998.32995605469,99.3300018310547,24.66091,891,1,1899,34,1865,0
0,1998,79,,480,1,1919,54,1865,0
0,1998,89,,2849,1,1909,44,1865,0
1,1997,86,89.42346,2849,1,1911,46,1865,0
1,1997,71,20.74167,2430,1,1926,61,1865,0
1,1996.42004394531,86.4199981689453,22.37852,484,1,1910,45,1865,0
1,1996.25,95.25,11.57556,149.1,1,1901,36,1865,0
1,1996.25,85.25,7.07395,175.5,1,1911,46,1865,0
1,1995.75,71.75,0.31238,24.05,1,1924,59,1865,0
0,1996.75,98.75,,832,1,1898,33,1865,0
0,1995,71,,832,1,1924,59,1865,0
0,1995,85,,838.4,1,1910,45,1865,0
1,1994.42004394531,98.4199981689453,7.45763,30.15,1,1896,31,1865,0
1,1994,70,80.15908,491.26,1,1924,59,1865,0
1,1994,66,63.0709,560,1,1928,63,1865,0
1,1993.75,91.75,5.83988,80,1,1902,37,1865,0
1,1993.42004394531,65.4199981689453,74.39163,562.8,1,1928,63,1865,0
1,1993.42004394531,79.4199981689453,209.62048,1353,1,1914,49,1865,0
1,1993,69,221.36332,480,1,1924,59,1865,0
1,1993,72,63.24666,496.8,1,1921,56,1865,0
1,1993,90,15.4603,285,0,1903,38,1865,0
1,1993,69,62.22449,837.2,1,1924,59,1865,0
1,1993,68,2.51618,192,1,1925,60,1865,0
0,1992,86,,3300.04,1,1906,41,1865,0
1,1992,80,68.74096,832,1,1912,47,1865,0
1,1990.42004394531,91.4199981689453,15.49187,832,1,1899,34,1865,0
1,1987.42004394531,97.4199981689453,12.38938,160.14,1,1890,25,1865,0
1,1987.42004394531,96.4199981689453,11.50442,187.46,1,1891,26,1865,0
1,1987.42004394531,96.4199981689453,44.24779,164.85,1,1891,26,1865,0
1,1987.42004394531,91.4199981689453,24.77876,808.35,1,1896,31,1865,0
1,2008.82995605469,82.8300018310547,0.14383,118.75,1,1926,64,1862,1
1,2008.5,83.5,0.50636,115.625,0,1925,63,1862,1
1,2008.42004394531,83.4199981689453,3.25122,480,1,1925,63,1862,1
0,2008.42004394531,83.4199981689453,,108,1,1925,63,1862,1
0,2008,83,,108,1,1925,63,1862,1
1,2007.92004394531,97.9199981689453,26.48514,147.84,1,1910,48,1862,0
0,2007.5,82.5,,140.938,1,1925,63,1862,0
1,2007.5,87.5,0.45858,157.5,1,1920,58,1862,0
0,2007.5,87.5,,123.75,1,1920,58,1862,0
1,2007.5,82.5,0.72407,165,1,1925,63,1862,0
0,2007.32995605469,82.3300018310547,,480,1,1925,63,1862,0
1,2007.17004394531,86.1699981689453,1.37095,249.75,1,1921,59,1862,0
0,2006.92004394531,81.9199981689453,,247,1,1925,63,1862,0
1,2006.92004394531,111.919998168945,0.64356,200.564,0,1895,33,1862,0
0,2006.82995605469,81.8300018310547,,247,1,1925,63,1862,0
1,2006.42004394531,109.419998168945,0.66236,47.43,0,1897,35,1862,0
0,2004.42004394531,90.4199981689453,,720,1,1914,52,1862,0
1,2004.25,76.25,3.47408,115,1,1928,66,1862,0
1,2003.67004394531,96.6699981689453,1.43339,108.688,1,1907,45,1862,0
1,2003.17004394531,82.1699981689453,1.20576,275.8,1,1921,59,1862,0
0,1998.75,73.75,,918,1,1925,63,1862,0
0,1992.92004394531,65.9199981689453,,108,1,1927,65,1862,0
1,2008.82995605469,63.8300018310547,3.31904,33.75,1,1945,69,1876,1
1,2008.75,96.75,0.54832,1218.75,1,1912,36,1876,1
1,2008.5,106.5,0.57541,24,1,1902,26,1876,1
0,2008.5,74.5,,154,0,1934,58,1876,1
1,2008.5,65.5,1.84132,22.5,1,1943,67,1876,1
0,2008.42004394531,73.4199981689453,,97.44,1,1935,59,1876,1
1,2008.42004394531,75.4199981689453,0.5462,323,1,1933,57,1876,1
1,2008.32995605469,106.330001831055,0.39716,44.563,1,1902,26,1876,1
1,2008.25,108.25,3.7477,78.8,1,1900,24,1876,1
1,2008.17004394531,91.1699981689453,0.47018,64.625,1,1917,41,1876,1
1,2008,99,0.27131,130,1,1909,33,1876,1
1,2008,73,0.31672,32.5,1,1935,59,1876,1
0,2007.92004394531,58.9199981689453,,432,1,1949,73,1876,0
1,2007.82995605469,72.8300018310547,1.83595,95.7,1,1935,59,1876,0
1,2007.75,103.75,0.92101,204,0,1904,28,1876,0
1,2007.5,102.5,1.25707,118.75,1,1905,29,1876,0
1,2007.5,62.5,0.70396,178.8,1,1945,69,1876,0
1,2007.42004394531,100.419998168945,10.09103,468,1,1907,31,1876,0
0,2007.42004394531,82.4199981689453,,103.04,1,1925,49,1876,0
1,2007.42004394531,84.4199981689453,17.65931,716.85,1,1923,47,1876,0
1,2007.42004394531,104.419998168945,100.91032,139.1,1,1903,27,1876,0
1,2006.92004394531,98.9199981689453,72.32028,199.5,1,1908,32,1876,0
1,2006.92004394531,96.9199981689453,112.95738,396,1,1910,34,1876,0
1,2006.92004394531,63.9199981689453,77.48601,432,1,1943,67,1876,0
1,2006.92004394531,64.9199981689453,12.91433,252,1,1942,66,1876,0
