"dateid01","cons","t","y"
7/1/1959,32504,0,51419
10/1/1959,33386,1,52708
1/1/1960,33703,2,53997
4/1/1960,34130,3,55784
7/1/1960,34567,4,55049
10/1/1960,34288,5,54923
1/1/1961,33855,6,54041
4/1/1961,33944,7,52597
7/1/1961,34169,8,52942
10/1/1961,34392,9,53489
1/1/1962,35542,10,55615
4/1/1962,35985,11,56809
7/1/1962,36266,12,56857
10/1/1962,36591,13,57785
1/1/1963,37265,14,59444
4/1/1963,37574,15,58769
7/1/1963,38678,16,61634
10/1/1963,39452,17,63724
1/1/1964,39649,18,63941
4/1/1964,40291,19,64978
7/1/1964,41033,20,65523
10/1/1964,41352,21,67332
1/1/1965,41527,22,67318
4/1/1965,42049,23,68103
7/1/1965,42325,24,68000
10/1/1965,42535,25,68035
1/1/1966,42675,26,67924
4/1/1966,43194,27,68896
7/1/1966,43969,28,70839
10/1/1966,44650,29,71598
1/1/1967,45326,30,74283
4/1/1967,45458,31,73430
7/1/1967,46240,32,74426
10/1/1967,46673,33,74832
1/1/1968,47725,34,74429
4/1/1968,47665,35,77841
7/1/1968,48333,36,78395
10/1/1968,49099,37,81494
1/1/1969,50154,38,81976
4/1/1969,50753,39,83117
7/1/1969,51706,40,84533
10/1/1969,52459,41,86366
1/1/1970,52817,42,88887
4/1/1970,53402,43,90469
7/1/1970,54112,44,89663
10/1/1970,54736,45,89267
1/1/1971,54674,46,90496
4/1/1971,55073,47,90627
7/1/1971,56554,48,94167
10/1/1971,56261,49,91435
1/1/1972,56556,50,91127
4/1/1972,57321,51,93991
7/1/1972,57913,52,94069
10/1/1972,58544,53,95409
1/1/1973,59967,54,99898
4/1/1973,60820,55,100695
7/1/1973,61515,56,101499
10/1/1973,62385,57,104312
1/1/1974,63884,58,104648
4/1/1974,64315,59,100473
7/1/1974,65543,60,102014
10/1/1974,65075,61,100959
1/1/1975,66539,62,101331
4/1/1975,67112,63,104279
7/1/1975,66605,64,101961
10/1/1975,65308,65,99535
1/1/1976,66484,66,104944
4/1/1976,67843,67,105721
7/1/1976,69452,68,106069
10/1/1976,70213,69,106460
1/1/1977,70093,70,105209
4/1/1977,70814,71,106715
7/1/1977,70954,72,104764
10/1/1977,71042,73,104419
1/1/1978,71306,74,104508
4/1/1978,72841,75,105701
7/1/1978,72684,76,107270
10/1/1978,71957,77,107816
1/1/1979,72749,78,111080
4/1/1979,73053,79,109866
7/1/1979,73202,80,110597
10/1/1979,73515,81,113038
1/1/1980,74431,82,113679
4/1/1980,74674,83,113186
7/1/1980,75322,84,113908
10/1/1980,76036,85,115933
1/1/1981,76425,86,116529
4/1/1981,77947,87,117979
7/1/1981,79828,88,121256
10/1/1981,79998,89,119757
1/1/1982,80593,90,117428
4/1/1982,82360,91,118528
7/1/1982,82183,92,118343
10/1/1982,82965,93,115183
1/1/1983,82994,94,113599
4/1/1983,82447,95,113139
7/1/1983,83271,96,116037
10/1/1983,83265,97,118416
1/1/1984,84288,98,121740
4/1/1984,83848,99,123493
7/1/1984,83031,100,123984
10/1/1984,83356,101,123731
1/1/1985,85095,102,125723
4/1/1985,86059,103,127016
7/1/1985,88081,104,128795
10/1/1985,89299,105,127211
1/1/1986,88096,106,127645
4/1/1986,89981,107,127095
7/1/1986,90628,108,126038
10/1/1986,90463,109,128089
1/1/1987,90776,110,129175
4/1/1987,91270,111,132423
7/1/1987,92641,112,135324
10/1/1987,93575,113,138310
1/1/1988,94528,114,139632
4/1/1988,94522,115,140887
7/1/1988,96009,116,142710
10/1/1988,97422,117,145343
1/1/1989,99415,118,147494
4/1/1989,100233,119,149637
7/1/1989,101148,120,150544
10/1/1989,101877,121,148983
1/1/1990,102895,122,149177
4/1/1990,103553,123,149927
7/1/1990,103653,124,149139
10/1/1990,103090,125,146524
1/1/1991,103385,126,143973
4/1/1991,103745,127,143093
7/1/1991,105088,128,143847
10/1/1991,105199,129,144898
1/1/1992,106242,130,145837
4/1/1992,107182,131,146447
7/1/1992,107390,132,147063
10/1/1992,107862,133,151194
1/1/1993,107868,134,152337
4/1/1993,108789,135,152449
7/1/1993,108667,136,152042
10/1/1993,110568,137,155064
1/1/1994,111205,138,158750
4/1/1994,111870,139,158248
7/1/1994,114053,140,160201
10/1/1994,114888,141,162379
1/1/1995,116181,142,161282
4/1/1995,117573,143,163776
7/1/1995,117776,144,166327
10/1/1995,119039,145,166582
1/1/1996,120150,146,170777
4/1/1996,120962,147,173873
7/1/1996,121228,148,174007
10/1/1996,122129,149,176228
1/1/1997,123331,150,176832
4/1/1997,125310,151,182681
7/1/1997,127229,152,182790
10/1/1997,128791,153,184990
1/1/1998,129000,154,185064
4/1/1998,131039,155,188466
7/1/1998,133516,156,189271
10/1/1998,134851,157,192498
1/1/1999,137347,158,193983
4/1/1999,138498,159,194438
7/1/1999,139809,160,197585
10/1/1999,141621,161,201053
1/1/2000,142068,162,204251
4/1/2000,143209,163,204923
7/1/2000,144844,164,205741
10/1/2000,145502,165,204338
1/1/2001,146956,166,206259
4/1/2001,148034,167,207399
7/1/2001,148499,168,210957
10/1/2001,149570,169,213176
1/1/2002,151402,170,216157
4/1/2002,153953,171,218715
7/1/2002,156020,172,219045
10/1/2002,156688,173,221599
1/1/2003,157425,174,221183
4/1/2003,159113,175,222462
7/1/2003,161213,176,227488
10/1/2003,164565,177,232194
1/1/2004,167107,178,235711
4/1/2004,168732,179,237521
7/1/2004,170989,180,237669
10/1/2004,172645,181,238935
1/1/2005,172732,182,242178
4/1/2005,175077,183,247363
7/1/2005,176296,184,249720
10/1/2005,177249,185,252212
1/1/2006,178773,186,254045
4/1/2006,180924,187,254362
7/1/2006,182614,188,256859
10/1/2006,185072,189,261809
1/1/2007,188987,190,267363
4/1/2007,190636,191,269060
7/1/2007,193210,192,271753
10/1/2007,196123,193,273434
1/1/2008,197113,194,278585
4/1/2008,196219,195,285747
7/1/2008,195864,196,294174
10/1/2008,195414,197,289121
1/1/2009,195913,198,287160
4/1/2009,197877,199,279145
7/1/2009,198227,200,279513
10/1/2009,200207,201,280788
1/1/2010,200851,202,285217
4/1/2010,203651,203,299902
7/1/2010,205525,204,299894
10/1/2010,207813,205,303492
1/1/2011,209287,206,305174
4/1/2011,210894,207,312169
7/1/2011,211786,208,319109
10/1/2011,212349,209,318796
1/1/2012,215037,210,319572
4/1/2012,215769,211,321161
7/1/2012,216016,212,319636
10/1/2012,216507,213,319203
1/1/2013,217210,214,321225
4/1/2013,218322,215,321516
7/1/2013,220575,216,321051
10/1/2013,222195,217,324317
1/1/2014,223412,218,325634
4/1/2014,225082,219,325544
7/1/2014,226470,220,324332
10/1/2014,227956,221,324654
1/1/2015,229397,222,325681
4/1/2015,230830,223,321593
7/1/2015,232849,224,320328
10/1/2015,234633,225,319439
1/1/2016,236523,226,326283
4/1/2016,237613,227,327849
7/1/2016,238664,228,330575
