"dateid01","s"
7/1/1985,8.852538
8/1/1985,-3.31383
9/1/1985,0.609456
10/1/1985,-1.065427
11/1/1985,-2.194717
12/1/1985,-0.600339
1/1/1986,4.956615
2/1/1986,-2.018845
3/1/1986,1.51443
4/1/1986,3.749578
5/1/1986,-3.091542
6/1/1986,-5.655115
7/1/1986,-12.43759
8/1/1986,1.740616
9/1/1986,3.058738
10/1/1986,2.300401
11/1/1986,1.05362
12/1/1986,2.436174
1/1/1987,-0.603502
2/1/1987,2.096513
3/1/1987,4.420689
4/1/1987,-0.070917
5/1/1987,1.254863
6/1/1987,0.920509
7/1/1987,-3.173526
8/1/1987,2.070702
9/1/1987,0.977798
10/1/1987,-6.266834
11/1/1987,4.273226
12/1/1987,2.423597
1/1/1988,-1.211461
2/1/1988,0.837058
3/1/1988,2.605385
4/1/1988,2.631555
5/1/1988,5.962369
6/1/1988,-1.388303
7/1/1988,1.313751
8/1/1988,0.297878
9/1/1988,-3.019477
10/1/1988,5.310542
11/1/1988,6.165009
12/1/1988,-2.607439
1/1/1989,3.841114
2/1/1989,-10.598563
3/1/1989,2.446076
4/1/1989,-3.300138
5/1/1989,-5.763339
6/1/1989,0.917743
7/1/1989,-0.384692
8/1/1989,1.739174
9/1/1989,1.400801
10/1/1989,0.859255
11/1/1989,-0.204525
12/1/1989,1.422969
1/1/1990,-2.80159
2/1/1990,-1.490029
3/1/1990,-0.687106
4/1/1990,-0.43851
5/1/1990,2.394851
6/1/1990,2.554532
7/1/1990,0.13932
8/1/1990,3.24999
9/1/1990,1.254049
10/1/1990,-5.189844
11/1/1990,-1.308382
12/1/1990,-0.155059
1/1/1991,1.488925
2/1/1991,0.025478
3/1/1991,-1.269004
4/1/1991,0.834997
5/1/1991,-2.696909
6/1/1991,0.941799
7/1/1991,1.216371
8/1/1991,0.934526
9/1/1991,1.855762
10/1/1991,-1.996024
11/1/1991,0.140261
12/1/1991,-3.237367
1/1/1992,-1.324874
2/1/1992,0.63813
3/1/1992,1.812262
4/1/1992,-1.191347
5/1/1992,-0.052694
6/1/1992,-1.339809
7/1/1992,-0.616211
8/1/1992,-4.226754
9/1/1992,0.084069
