"dateid01","consn","y"
1/1/1986,8.50098,8.632199
4/1/1986,8.5121,8.645393
7/1/1986,8.53005,8.652441
10/1/1986,8.53643,8.654238
1/1/1987,8.53658,8.662436
4/1/1987,8.55036,8.652685
7/1/1987,8.56188,8.670704
10/1/1987,8.56398,8.683978
1/1/1988,8.58161,8.698464
4/1/1988,8.58892,8.708673
7/1/1988,8.59743,8.718255
10/1/1988,8.60881,8.727875
1/1/1989,8.61341,8.740145
4/1/1989,8.61811,8.737196
7/1/1989,8.628,8.743978
10/1/1989,8.6324,8.751981
1/1/1990,8.64095,8.760375
4/1/1990,8.64407,8.766332
7/1/1990,8.6481,8.766706
10/1/1990,8.64051,8.758758
1/1/1991,8.63705,8.760876
4/1/1991,8.64541,8.767781
7/1/1991,8.65025,8.771401
10/1/1991,8.64999,8.779911
1/1/1992,8.66859,8.801153
4/1/1992,8.67543,8.811563
7/1/1992,8.68619,8.815919
10/1/1992,8.69803,8.81934
1/1/1993,8.70181,8.824928
4/1/1993,8.71075,8.826691
7/1/1993,8.72173,8.827277
10/1/1993,8.73054,8.833827
1/1/1994,8.74195,8.840812
4/1/1994,8.74967,8.851348
7/1/1994,8.75739,8.857273
10/1/1994,8.76809,8.871084
1/1/1995,8.77073,8.880572
4/1/1995,8.77967,8.88285
7/1/1995,8.78879,8.891745
10/1/1995,8.79579,8.897505
1/1/1996,8.80503,8.90703
4/1/1996,8.81583,8.916546
7/1/1996,8.82184,8.924483
10/1/1996,8.82967,8.929687
1/1/1997,8.84016,8.939673
4/1/1997,8.84468,8.948183
7/1/1997,8.86165,8.960018
10/1/1997,8.87345,8.974251
1/1/1998,8.88372,8.995326
4/1/1998,8.90123,9.009203
7/1/1998,8.91429,9.019349
10/1/1998,8.92888,9.027439
1/1/1999,8.93836,9.036356
4/1/1999,8.95306,9.038828
7/1/1999,8.96435,9.045501
10/1/1999,8.97893,9.06011
1/1/2000,8.99404,9.079616
4/1/2000,9.00359,9.089934
7/1/2000,9.01327,9.101552
10/1/2000,9.02213,9.104924
1/1/2001,9.02635,9.113411
4/1/2001,9.02891,9.112529
7/1/2001,9.03255,9.135897
10/1/2001,9.04772,9.123453
1/1/2002,9.05071,9.147486
4/1/2002,9.0558,9.152542
7/1/2002,9.06277,9.151259
10/1/2002,9.06813,9.156053
1/1/2003,9.07251,9.158837
4/1/2003,9.08359,9.173209
7/1/2003,9.09822,9.189464
10/1/2003,9.10596,9.193499
1/1/2004,9.11563,9.200765
4/1/2004,9.12211,9.21057
7/1/2004,9.13162,9.215815
10/1/2004,9.14183,9.228239
1/1/2005,9.14944,9.218557
4/1/2005,9.16026,9.22644
7/1/2005,9.16798,9.231554
10/1/2005,9.17173,9.239773
1/1/2006,9.18289,9.262363
4/1/2006,9.1882,9.263862
7/1/2006,9.19402,9.266711
10/1/2006,9.20416,9.279717
1/1/2007,9.20941,9.286255
4/1/2007,9.2128,9.288181
7/1/2007,9.21724,9.290805
10/1/2007,9.21849,9.291644
1/1/2008,9.21642,9.298836
4/1/2008,9.2181,9.319706
7/1/2008,9.21085,9.296445
10/1/2008,9.19874,9.302847
1/1/2009,9.19531,9.300958
4/1/2009,9.19079,9.308048
7/1/2009,9.19684,9.297013
10/1/2009,9.19673,9.295692
1/1/2010,9.20208,9.296702
4/1/2010,9.21018,9.309624
7/1/2010,9.21663,9.314592
10/1/2010,9.22681,9.321542
1/1/2011,9.23182,9.333699
4/1/2011,9.23383,9.332133
7/1/2011,9.23817,9.337422
10/1/2011,9.24153,9.33803
1/1/2012,9.24754,9.35425
4/1/2012,9.24923,9.361919
7/1/2012,9.25188,9.361412
10/1/2012,9.25466,9.387323
1/1/2013,9.26086,9.344102
4/1/2013,9.26429,9.350667
7/1/2013,9.26851,9.35611
10/1/2013,9.2771,9.357518
1/1/2014,9.2803,9.367242
4/1/2014,9.28973,9.374557
7/1/2014,9.29822,9.381188
10/1/2014,9.30867,9.392554
1/1/2015,9.31301,9.402175
4/1/2015,9.32178,9.408667
