"dateid01","bekly","xchina"
1/1/1988,67.2,103
2/1/1988,67.48,129
3/1/1988,67.78,65
4/1/1988,67.97,76
5/1/1988,67.84,65
6/1/1988,67.33,87
7/1/1988,66.59,103
8/1/1988,65.85,77
9/1/1988,65.17,80
10/1/1988,64.56,88
11/1/1988,64.13,95
12/1/1988,64,110
1/1/1989,64.22,92
2/1/1989,64.68,82
3/1/1989,65.24,68
4/1/1989,65.77,119
5/1/1989,66.21,196
6/1/1989,66.55,147
7/1/1989,66.81,87
8/1/1989,66.98,101
9/1/1989,66.97,99
10/1/1989,66.79,70
11/1/1989,66.55,64
12/1/1989,66.44,69
1/1/1990,66.52,69
2/1/1990,66.77,97
3/1/1990,67.12,165
4/1/1990,67.53,107
5/1/1990,67.97,112
6/1/1990,68.41,132
7/1/1990,68.7,125
8/1/1990,68.73,111
9/1/1990,68.52,88
10/1/1990,68.23,107
11/1/1990,68.06,87
12/1/1990,68.13,93
1/1/1991,68.49,78
2/1/1991,69.09,92
3/1/1991,69.76,128
4/1/1991,70.38,124
5/1/1991,70.88,179
6/1/1991,71.25,135
7/1/1991,71.5,153
8/1/1991,71.69,98
9/1/1991,71.88,128
10/1/1991,72.07,112
11/1/1991,72.21,149
12/1/1991,72.27,146
1/1/1992,72.3,80
2/1/1992,72.44,109
3/1/1992,72.9,137
4/1/1992,73.54,103
5/1/1992,74,132
6/1/1992,74.21,109
7/1/1992,74.32,191
8/1/1992,74.42,132
9/1/1992,74.5,186
10/1/1992,74.61,208
11/1/1992,74.84,249
12/1/1992,75.2,238
1/1/1993,75.64,140
2/1/1993,76.1,159
3/1/1993,76.55,216
4/1/1993,76.93,193
5/1/1993,77.23,190
6/1/1993,77.54,165
7/1/1993,77.82,189
8/1/1993,77.81,196
9/1/1993,77.51,194
10/1/1993,77.14,212
11/1/1993,77.03,217
12/1/1993,77.35,225
1/1/1994,78.05,169
2/1/1994,78.96,236
3/1/1994,79.89,217
4/1/1994,80.78,221
5/1/1994,81.54,273
6/1/1994,82.12,242
7/1/1994,82.59,258
8/1/1994,82.98,190
9/1/1994,83.23,262
10/1/1994,83.47,204
11/1/1994,83.92,304
12/1/1994,84.48,240
1/1/1995,84.93,171
2/1/1995,85.21,259
3/1/1995,85.46,328
4/1/1995,85.77,256
5/1/1995,86.17,248
6/1/1995,86.63,244
7/1/1995,87.15,234
8/1/1995,87.73,239
9/1/1995,88.29,170
10/1/1995,88.74,324
11/1/1995,89.08,319
12/1/1995,89.3,339
1/1/1996,89.52,293
2/1/1996,90.03,356
3/1/1996,90.88,422
4/1/1996,91.75,412
5/1/1996,92.48,379
6/1/1996,93.08,293
7/1/1996,93.48,280
8/1/1996,93.5,291
9/1/1996,93.03,245
10/1/1996,92.27,303
11/1/1996,91.57,279
12/1/1996,91.23,324
1/1/1997,91.46,239
2/1/1997,92.25,292
3/1/1997,93.39,332
4/1/1997,94.41,344
5/1/1997,94.99,346
6/1/1997,95.23,309
7/1/1997,95.24,375
8/1/1997,95.11,305
9/1/1997,94.91,369
10/1/1997,94.56,328
11/1/1997,94.09,349
12/1/1997,93.62,389
1/1/1998,93.37,252
2/1/1998,93.48,271
3/1/1998,93.93,313
4/1/1998,94.46,256
5/1/1998,94.77,352
6/1/1998,94.78,313
7/1/1998,94.77,295
8/1/1998,94.9,308
9/1/1998,94.92,343
10/1/1998,94.76,280
11/1/1998,94.63,373
12/1/1998,94.57,436
1/1/1999,94.52,323
2/1/1999,94.59,376
3/1/1999,94.91,284
4/1/1999,95.38,295
5/1/1999,95.82,389
6/1/1999,96.1,246
7/1/1999,96.29,297
8/1/1999,96.43,362
9/1/1999,96.43,386
10/1/1999,96.37,363
11/1/1999,96.48,368
12/1/1999,96.78,402
1/1/2000,97.2,386
2/1/2000,97.73,514
3/1/2000,98.4,399
4/1/2000,99.25,461
5/1/2000,100.09,469
6/1/2000,100.57,559
7/1/2000,100.59,419
8/1/2000,100.38,482
9/1/2000,100.24,533
10/1/2000,100.17,620
11/1/2000,100.06,645
12/1/2000,100,523
1/1/2001,100.21,391
2/1/2001,100.83,552
3/1/2001,101.64,691
4/1/2001,102.2,731
5/1/2001,102.49,569
6/1/2001,102.69,686
7/1/2001,102.75,751
8/1/2001,102.67,607
9/1/2001,102.54,637
10/1/2001,102.44,706
11/1/2001,102.37,624
12/1/2001,102.35,636
1/1/2002,102.49,514
2/1/2002,102.83,539
3/1/2002,103.5,744
4/1/2002,104.52,687
5/1/2002,105.41,764
6/1/2002,105.84,607
7/1/2002,105.88,696
8/1/2002,105.78,702
9/1/2002,105.74,708
10/1/2002,105.79,808
11/1/2002,105.8,813
12/1/2002,105.82,790
1/1/2003,105.97,605
2/1/2003,106.31,613
3/1/2003,106.79,933
4/1/2003,107.3,745
5/1/2003,107.8,711
6/1/2003,108.48,676
7/1/2003,109.33,762
8/1/2003,110.06,658
9/1/2003,110.44,857
10/1/2003,110.55,742
11/1/2003,110.46,833
12/1/2003,110.25,952
1/1/2004,110.24,594
2/1/2004,110.57,697
3/1/2004,111.23,927
4/1/2004,112.35,806
5/1/2004,113.86,978
6/1/2004,115.34,1129
7/1/2004,116.52,899
8/1/2004,117.32,923
9/1/2004,117.66,962
10/1/2004,117.62,1040
11/1/2004,117.35,957
12/1/2004,116.99,1102
1/1/2005,117,847
2/1/2005,117.79,955
3/1/2005,119.28,1200
4/1/2005,121.2,1342
5/1/2005,123.06,1422
6/1/2005,124.37,1354
7/1/2005,125.22,1420
8/1/2005,125.82,1413
9/1/2005,126.22,1338
10/1/2005,126.66,1533
11/1/2005,127.23,1436
12/1/2005,127.78,1869
1/1/2006,128.36,1070
2/1/2006,129.13,1537
3/1/2006,130.12,1458
4/1/2006,131.11,1555
5/1/2006,131.98,1605
6/1/2006,132.96,1907
7/1/2006,133.91,1807
8/1/2006,134.63,1619
9/1/2006,135.24,1718
10/1/2006,135.71,2000
11/1/2006,136.01,1983
12/1/2006,136.08,2114
1/1/2007,136.03,1763
2/1/2007,136.15,1816
3/1/2007,136.7,1790
4/1/2007,137.4,2149
5/1/2007,138,2161
6/1/2007,138.72,1884
7/1/2007,139.78,2012
8/1/2007,140.77,1770
9/1/2007,141,1837
10/1/2007,140.52,1932
11/1/2007,139.57,2120
12/1/2007,138.55,2558
1/1/2008,137.98,2235
2/1/2008,138.15,1735
3/1/2008,139.14,2602
4/1/2008,140.45,2557
5/1/2008,141.39,2844
6/1/2008,141.88,2833
7/1/2008,141.97,2998
8/1/2008,141.45,3030
9/1/2008,140.34,3186
10/1/2008,139.1,3300
11/1/2008,138.33,2396
12/1/2008,138.11,2621
1/1/2009,138.11,3134
2/1/2009,138.26,3411
3/1/2009,138.7,4265
4/1/2009,139.31,3577
5/1/2009,139.94,3846
6/1/2009,140.46,3562
7/1/2009,140.73,3573
8/1/2009,140.73,3281
9/1/2009,140.6,3272
10/1/2009,140.54,3357
11/1/2009,140.54,3249
12/1/2009,140.48,4000
1/1/2010,140.26,3286
2/1/2010,140.02,3573
3/1/2010,140.1,3675
4/1/2010,140.64,4783
5/1/2010,141.42,4917
6/1/2010,142.04,5551
7/1/2010,142.14,5225
8/1/2010,141.92,5245
9/1/2010,141.81,5189
10/1/2010,141.68,5327
11/1/2010,141.17,5615
12/1/2010,140.24,6034
1/1/2011,139.19,4764
2/1/2011,138.42,4249
3/1/2011,138.03,5826
4/1/2011,137.92,5219
5/1/2011,138.05,5824
6/1/2011,138.34,6338
7/1/2011,138.66,5714
8/1/2011,139.02,6767
9/1/2011,139.39,7035
10/1/2011,139.62,7069
11/1/2011,139.6,6034
12/1/2011,139.46,6612
1/1/2012,139.36,4997
2/1/2012,139.46,5282
3/1/2012,139.95,5899
4/1/2012,140.78,5802
5/1/2012,141.61,6621
6/1/2012,142.15,6165
7/1/2012,142.46,5741
8/1/2012,142.63,5065
9/1/2012,142.74,4712
10/1/2012,142.86,5396
11/1/2012,142.87,5751
12/1/2012,142.74,6636
1/1/2013,142.55,5639
2/1/2013,142.45,5695
3/1/2013,142.62,6470
4/1/2013,143.15,6570
5/1/2013,144.03,7205
6/1/2013,145.06,7086
7/1/2013,145.94,7204
8/1/2013,146.47,7928
9/1/2013,146.77,7686
10/1/2013,147,8086
11/1/2013,147.1,7601
12/1/2013,146.99,9100
1/1/2014,146.8,7671
2/1/2014,146.66,7050
3/1/2014,146.76,7809
4/1/2014,147.2,7743
5/1/2014,147.98,6797
6/1/2014,149.06,6767
7/1/2014,150.28,6514
8/1/2014,151.37,6852
9/1/2014,151.93,5925
10/1/2014,151.61,6473
11/1/2014,150.61,6294
12/1/2014,149.57,6517
1/1/2015,149.05,5556
2/1/2015,149.29,5738
3/1/2015,150.26,5916
4/1/2015,151.62,5546
5/1/2015,152.78,6580
6/1/2015,153.24,6903
7/1/2015,152.96,6762
8/1/2015,152.32,6641
9/1/2015,151.65,6809
10/1/2015,151.21,6424
11/1/2015,150.89,6284
12/1/2015,150.28,6077
