"dateid01","charv","churb"
1/1/1982,44.47,56.15
2/1/1982,43.97,55.92
3/1/1982,43.46,55.76
4/1/1982,43.04,55.76
5/1/1982,42.83,56.02
6/1/1982,42.84,56.47
7/1/1982,43.08,56.76
8/1/1982,43.5,56.46
9/1/1982,44.02,55.69
10/1/1982,44.54,54.91
11/1/1982,45.02,54.13
12/1/1982,45.48,53.54
1/1/1983,45.87,53.94
2/1/1983,46.22,55.16
3/1/1983,46.57,56.43
4/1/1983,46.8,57.47
5/1/1983,46.91,58.12
6/1/1983,46.99,58.39
7/1/1983,47.21,58.49
8/1/1983,47.64,58.67
9/1/1983,48,58.93
10/1/1983,48.09,59.1
11/1/1983,48.04,59.06
12/1/1983,48.1,58.89
1/1/1984,48.25,58.8
2/1/1984,48.44,58.95
3/1/1984,48.72,59.33
4/1/1984,49,59.88
5/1/1984,49.3,60.41
6/1/1984,49.73,60.69
7/1/1984,50.2,60.75
8/1/1984,50.37,60.66
9/1/1984,50.08,60.62
10/1/1984,49.7,60.71
11/1/1984,49.57,60.75
12/1/1984,49.72,60.7
1/1/1985,49.99,60.87
2/1/1985,50.2,61.24
3/1/1985,50.43,61.48
4/1/1985,50.77,61.49
5/1/1985,51.01,61.58
6/1/1985,51.14,61.91
7/1/1985,51.38,62.19
8/1/1985,51.64,62.5
9/1/1985,51.77,62.79
10/1/1985,51.71,62.88
11/1/1985,51.67,62.92
12/1/1985,51.74,62.97
1/1/1986,51.89,62.93
2/1/1986,52.2,62.97
3/1/1986,52.56,63.24
4/1/1986,52.86,63.7
5/1/1986,53.29,64.28
6/1/1986,53.85,64.83
7/1/1986,54.35,65.25
8/1/1986,54.68,65.32
9/1/1986,54.91,65.15
10/1/1986,55.06,65.11
11/1/1986,55.15,65.15
12/1/1986,55.26,65.05
1/1/1987,55.34,64.73
2/1/1987,55.38,65.01
3/1/1987,55.54,65.96
4/1/1987,55.98,66.7
5/1/1987,56.65,67.28
6/1/1987,57.36,67.67
7/1/1987,58.01,67.85
8/1/1987,58.44,68.06
9/1/1987,58.68,68.22
10/1/1987,58.98,68.14
11/1/1987,59.36,67.92
12/1/1987,59.68,67.81
1/1/1988,59.89,67.89
2/1/1988,60.11,68.07
3/1/1988,60.47,68.49
4/1/1988,61.05,69.11
5/1/1988,61.75,69.67
6/1/1988,62.43,70.08
7/1/1988,62.95,70.41
8/1/1988,63.23,70.63
9/1/1988,63.53,70.49
10/1/1988,64.07,70.15
11/1/1988,64.69,70.06
12/1/1988,65.24,70.14
1/1/1989,65.72,70.22
2/1/1989,66.29,70.41
3/1/1989,67,70.67
4/1/1989,67.73,70.92
5/1/1989,68.31,71.15
6/1/1989,68.75,71.43
7/1/1989,69.15,71.58
8/1/1989,69.54,71.52
9/1/1989,69.94,71.53
10/1/1989,70.33,71.62
11/1/1989,70.74,71.53
12/1/1989,71.11,71.37
1/1/1990,71.32,71.31
2/1/1990,71.44,71.38
3/1/1990,71.69,71.65
4/1/1990,72.16,71.99
5/1/1990,72.63,72.26
6/1/1990,72.96,72.42
7/1/1990,73.25,72.5
8/1/1990,73.37,72.46
9/1/1990,73.24,72.37
10/1/1990,72.99,72.42
11/1/1990,72.77,72.37
12/1/1990,72.72,72.17
1/1/1991,72.8,72.17
2/1/1991,72.97,72.43
3/1/1991,73.24,72.77
4/1/1991,73.52,73.09
5/1/1991,73.77,73.27
6/1/1991,74.09,73.43
7/1/1991,74.2,73.61
8/1/1991,74.1,73.7
9/1/1991,74.22,73.71
10/1/1991,74.59,73.79
11/1/1991,74.9,73.88
12/1/1991,75.05,73.85
1/1/1992,75.23,73.91
2/1/1992,75.6,74.29
3/1/1992,75.88,74.71
4/1/1992,75.82,74.91
5/1/1992,75.68,75
6/1/1992,75.73,75.09
7/1/1992,76,75.26
8/1/1992,76.35,75.3
9/1/1992,76.58,75.35
10/1/1992,76.65,75.45
11/1/1992,76.59,75.39
12/1/1992,76.21,75.12
1/1/1993,75.82,74.97
2/1/1993,75.77,75
3/1/1993,75.94,75.2
4/1/1993,76.29,75.75
5/1/1993,76.66,76.44
6/1/1993,76.81,76.91
7/1/1993,76.82,77.08
8/1/1993,76.83,77.27
9/1/1993,76.8,77.47
10/1/1993,76.79,77.36
11/1/1993,76.82,77.27
12/1/1993,76.73,77.45
1/1/1994,76.68,77.69
2/1/1994,76.77,78.07
3/1/1994,76.99,78.67
4/1/1994,77.48,79.38
5/1/1994,78.02,80.07
6/1/1994,78.43,80.72
7/1/1994,78.62,81.3
8/1/1994,78.61,81.63
9/1/1994,78.52,81.64
10/1/1994,78.49,81.52
11/1/1994,78.57,81.43
12/1/1994,78.59,81.52
