"dateid01","france","germany"
1/1/1990,3.382,2.765
4/1/1990,3.052,2.435
7/1/1990,3.179,2.736
10/1/1990,3.438,3.021
1/1/1991,3.272,2.84
4/1/1991,3.244,3.269
7/1/1991,3.221,4.438
10/1/1991,2.909,5.425
1/1/1992,2.893,5.959
4/1/1992,2.869,6.043
7/1/1992,2.171,4.958
10/1/1992,1.884,3.338
1/1/1993,2.142,4.664
4/1/1993,1.859,4.342
7/1/1993,2.125,4.588
10/1/1993,1.982,4.307
1/1/1994,1.704,2.883
4/1/1994,1.695,2.861
7/1/1994,1.691,2.581
10/1/1994,1.684,2.452
1/1/1995,1.675,2.166
4/1/1995,1.667,1.643
7/1/1995,1.79,1.509
10/1/1995,1.911,1.511
1/1/1996,2.155,1.372
4/1/1996,2.396,1.493
7/1/1996,1.759,1.363
10/1/1996,1.75,1.489
1/1/1997,1.489,1.845
4/1/1997,0.862,1.593
7/1/1997,1.358,2.323
10/1/1997,1.106,2.2
1/1/1998,0.733,1.208
4/1/1998,0.977,1.327
7/1/1998,0.609,0.597
10/1/1998,0.243,0.359
1/1/1999,0.243,0.239
4/1/1999,0.363,0.476
7/1/1999,0.484,0.713
10/1/1999,1.091,0.954
1/1/2000,1.453,1.548
4/1/2000,1.566,1.185
7/1/2000,1.928,1.297
10/1/2000,1.799,1.771
1/1/2001,1.313,1.641
4/1/2001,2.017,2.459
7/1/2001,1.773,2.095
10/1/2001,1.413,1.624
1/1/2002,2.12,2.076
4/1/2002,1.628,1.371
7/1/2002,1.742,1.14
10/1/2002,2.207,1.256
1/1/2003,2.422,1.13
4/1/2003,1.945,0.789
7/1/2003,1.941,1.127
10/1/2003,2.159,1.127
1/1/2004,1.802,0.894
4/1/2004,2.357,1.79
7/1/2004,2.24,1.784
10/1/2004,2.113,2.007
1/1/2005,1.659,1.661
4/1/2005,1.645,1.319
7/1/2005,1.972,1.643
10/1/2005,1.634,1.639
1/1/2006,1.85,1.743
4/1/2006,1.942,1.844
7/1/2006,1.611,1.509
10/1/2006,1.286,1.29
1/1/2007,1.068,1.713
4/1/2007,1.164,2.023
7/1/2007,1.268,2.229
10/1/2007,2.328,3.079
1/1/2008,2.96,2.947
4/1/2008,3.347,2.923
7/1/2008,3.34,3.115
10/1/2008,1.861,1.648
1/1/2009,0.616,0.818
4/1/2009,-0.202,0.203
7/1/2009,-0.505,-0.302
10/1/2009,0.305,0.405
1/1/2010,1.327,0.811
4/1/2010,1.623,1.113
7/1/2010,1.624,1.111
10/1/2010,1.619,1.413
1/1/2011,1.813,1.911
4/1/2011,2.096,2.002
7/1/2011,2.098,2.198
10/1/2011,2.49,2.189
1/1/2012,2.374,2.172
4/1/2012,1.955,1.865
7/1/2012,1.957,2.053
10/1/2012,1.555,2.045
1/1/2013,1.063,1.546
4/1/2013,0.767,1.541
7/1/2013,0.96,1.628
10/1/2013,0.574,1.336
1/1/2014,0.669,1.142
4/1/2014,0.666,1.044
7/1/2014,0.38,0.848
10/1/2014,0.285,0.471
