"dateid01","bcycles","sunspots"
1/1/1950,13.5,119
1/1/1951,5.5,98
1/1/1952,5.5,45
1/1/1953,0.7,20
1/1/1954,2.8,7
1/1/1955,6.6,54
1/1/1956,2.1,201
1/1/1957,0.4,269
1/1/1958,3,261
1/1/1959,4.7,225
1/1/1960,1,159
1/1/1961,6.4,76
1/1/1962,4.3,54
1/1/1963,5.2,40
1/1/1964,5.2,15
1/1/1965,8.5,22
1/1/1966,4.6,67
1/1/1967,2.7,133
1/1/1968,5,150
1/1/1969,2.1,149
1/1/1970,-0.1,148
1/1/1971,4.5,94
1/1/1972,6.9,98
1/1/1973,4.1,54
1/1/1974,-1.9,49
1/1/1975,2.7,22
1/1/1976,4.4,18
1/1/1977,5,39
1/1/1978,6.9,131
1/1/1979,1.3,220
1/1/1980,0.1,219
1/1/1981,1.4,199
1/1/1982,-1.3,163
1/1/1983,7.8,91
1/1/1984,5.7,61
1/1/1985,4.3,21
1/1/1986,3,15
1/1/1987,4.5,34
1/1/1988,3.9,123
1/1/1989,2.8,211
1/1/1990,0.7,191
1/1/1991,1.2,203
1/1/1992,4.3,133
1/1/1993,2.7,76
1/1/1994,4.2,45
1/1/1995,2.3,25
1/1/1996,4.5,12
1/1/1997,4.4,29
1/1/1998,5,88
1/1/1999,4.7,136
1/1/2000,3,174
1/1/2001,0.2,170
1/1/2002,2.1,164
1/1/2003,4.4,99
1/1/2004,3.1,65
1/1/2005,3,46
1/1/2006,2.4,25
1/1/2007,1.9,13
1/1/2008,-2.7,4
1/1/2009,-0.2,5
1/1/2010,2.7,25
1/1/2011,1.7,81
1/1/2012,1.3,84
1/1/2013,2.5,94
1/1/2014,2.5,114
