"dateid01","oil"
1/1/1980,37.85
4/1/1980,39.5
7/1/1980,37.84
10/1/1980,36.32
1/1/1981,38
4/1/1981,36.67
7/1/1981,35
10/1/1981,35
1/1/1982,34.02
4/1/1982,32
7/1/1982,32
10/1/1982,32.67
1/1/1983,30.4
4/1/1983,30.58
7/1/1983,31.59
10/1/1983,29.85
1/1/1984,30.21
4/1/1984,30.37
7/1/1984,29.08
10/1/1984,27.89
1/1/1985,27.11
4/1/1985,27.88
7/1/1985,27.79
10/1/1985,29.19
1/1/1986,16.91
4/1/1986,13.94
7/1/1986,13.87
10/1/1986,15.37
1/1/1987,18.29
4/1/1987,19.39
7/1/1987,20.39
10/1/1987,18.7
1/1/1988,16.69
4/1/1988,17.25
7/1/1988,15.19
10/1/1988,14.76
1/1/1989,18.49
4/1/1989,20.59
7/1/1989,19.32
10/1/1989,20.36
1/1/1990,21.83
4/1/1990,17.79
7/1/1990,26.48
10/1/1990,31.97
1/1/1991,21.86
4/1/1991,20.74
7/1/1991,21.69
10/1/1991,21.76
1/1/1992,18.89
4/1/1992,21.19
7/1/1992,21.66
10/1/1992,20.48
1/1/1993,19.81
4/1/1993,19.77
7/1/1993,17.79
10/1/1993,16.45
1/1/1994,14.81
4/1/1994,17.78
7/1/1994,18.49
10/1/1994,17.65
1/1/1995,18.37
4/1/1995,19.35
7/1/1995,17.84
10/1/1995,18.16
1/1/1996,19.76
4/1/1996,21.73
7/1/1996,22.41
10/1/1996,24.63
1/1/1997,22.78
4/1/1997,19.9
7/1/1997,19.77
10/1/1997,19.88
1/1/1998,15.96
4/1/1998,14.64
7/1/1998,14.17
10/1/1998,12.9
1/1/1999,12.9
4/1/1999,17.57
7/1/1999,21.53
10/1/1999,24.67
1/1/2000,28.79
4/1/2000,28.81
7/1/2000,31.72
10/1/2000,31.94
1/1/2001,28.78
4/1/2001,27.85
7/1/2001,26.49
10/1/2001,20.36
1/1/2002,21.6
4/1/2002,26.26
7/1/2002,28.32
10/1/2002,28.28
1/1/2003,34.02
4/1/2003,28.98
7/1/2003,30.2
10/1/2003,31.18
1/1/2004,35.23
4/1/2004,38.35
7/1/2004,43.89
10/1/2004,48.31
1/1/2005,49.65
4/1/2005,53.05
7/1/2005,63.06
10/1/2005,60.02
1/1/2006,63.33
4/1/2006,70.47
7/1/2006,70.42
10/1/2006,59.99
1/1/2007,58.03
4/1/2007,64.96
7/1/2007,75.48
10/1/2007,90.67
1/1/2008,97.94
4/1/2008,123.97
7/1/2008,117.99
10/1/2008,58.45
1/1/2009,42.95
4/1/2009,59.51
7/1/2009,68.21
10/1/2009,76.08
1/1/2010,78.63
4/1/2010,77.86
7/1/2010,76.01
10/1/2010,85.1
1/1/2011,93.93
4/1/2011,102.52
7/1/2011,89.71
10/1/2011,94.03
1/1/2012,102.85
4/1/2012,93.38
7/1/2012,92.2
10/1/2012,88.13
1/1/2013,94.36
4/1/2013,94.18
7/1/2013,105.8
10/1/2013,97.41
1/1/2014,98.76
4/1/2014,103.14
7/1/2014,97.57
10/1/2014,73.07
1/1/2015,48.7
4/1/2015,57.76
7/1/2015,46.5
10/1/2015,42.03
1/1/2016,33.28
