"dateid01","gold","silver"
1/1/1970,3.5505,5.2531
2/1/1970,3.5542,5.2459
3/1/1970,3.5582,5.234
4/1/1970,3.5821,5.1557
5/1/1970,3.5824,5.0946
6/1/1970,3.5667,5.1053
7/1/1970,3.5639,5.1748
8/1/1970,3.5625,5.2132
9/1/1970,3.5899,5.154
10/1/1970,3.6376,5.1776
11/1/1970,3.6257,5.1115
12/1/1970,3.6217,5.0954
1/1/1971,3.6389,5.0714
2/1/1971,3.6571,5.0672
3/1/1971,3.6589,5.1438
4/1/1971,3.6687,5.129
5/1/1971,3.7116,5.076
6/1/1971,3.6926,5.076
7/1/1971,3.7589,5.07
8/1/1971,3.7577,5.0476
9/1/1971,3.753,4.9265
10/1/1971,3.7495,4.8714
11/1/1971,3.7705,4.8783
12/1/1971,3.7739,4.9205
1/1/1972,3.833,5.0256
2/1/1972,3.8844,5.0027
3/1/1972,3.8795,5.0508
4/1/1972,3.8979,5.0566
5/1/1972,4.0843,5.0475
6/1/1972,4.1589,5.0344
7/1/1972,4.1972,5.2149
8/1/1972,4.2025,5.2457
9/1/1972,4.2305,5.1577
10/1/1972,4.1705,5.194
11/1/1972,4.1518,5.2325
12/1/1972,4.1744,5.3142
1/1/1973,4.2312,5.2878
2/1/1973,4.4067,5.535
3/1/1973,4.5081,5.3931
4/1/1973,4.5076,5.3617
5/1/1973,4.8363,5.5603
6/1/1973,4.804,5.5866
7/1/1973,4.7501,5.6718
8/1/1973,4.6549,5.5605
9/1/1973,4.5824,5.5975
10/1/1973,4.585,5.6597
11/1/1973,4.6587,5.6782
12/1/1973,4.7163,5.7788
1/1/1974,4.9236,6.0001
2/1/1974,5.1648,6.3667
3/1/1974,5.1489,6.2828
4/1/1974,5.1631,6.3074
5/1/1974,5.037,6.1995
6/1/1974,5.009,6.1346
7/1/1974,5.0689,6.1427
8/1/1974,5.0272,6.0195
9/1/1974,4.9938,6.0393
10/1/1974,5.1255,6.1915
11/1/1974,5.2257,6.0996
12/1/1974,5.2627,6.172
1/1/1975,5.1733,6.0351
2/1/1975,5.2204,6.0933
3/1/1975,5.1747,6.0552
4/1/1975,5.1183,6.0866
5/1/1975,5.1475,6.1158
6/1/1975,5.0901,6.0853
7/1/1975,5.1263,6.215
