"dateid01","m","p"
1/1/1961,0.066369,0.0123551
4/1/1961,0.0774253,0.0110558
7/1/1961,0.0732792,0.0103529
10/1/1961,0.0777178,0.0107249
1/1/1962,0.0825334,0.014486
4/1/1962,0.0806297,0.013837
7/1/1962,0.079121,0.0132255
10/1/1962,0.0844866,0.0130154
1/1/1963,0.0852398,0.0093194
4/1/1963,0.08734,0.0098524
7/1/1963,0.0914047,0.0093329
10/1/1963,0.0887256,0.0137187
1/1/1964,0.0846144,0.0144384
4/1/1964,0.0826999,0.0148617
7/1/1964,0.0860642,0.0170017
10/1/1964,0.0862159,0.014391
1/1/1965,0.0887053,0.0164916
4/1/1965,0.0858026,0.0182318
7/1/1965,0.0845762,0.0179503
10/1/1965,0.085982,0.0194499
1/1/1966,0.0820864,0.020956
4/1/1966,0.0780106,0.0249856
7/1/1966,0.0646982,0.0318029
10/1/1966,0.0464826,0.0345088
1/1/1967,0.0571357,0.0324557
4/1/1967,0.0706726,0.0297316
7/1/1967,0.08598,0.0288223
10/1/1967,0.0978808,0.030766
1/1/1968,0.0864006,0.0371731
4/1/1968,0.078422,0.0420483
7/1/1968,0.0774763,0.0422352
10/1/1968,0.0839163,0.0451934
1/1/1969,0.0742848,0.0447031
4/1/1969,0.0616668,0.0472241
7/1/1969,0.0297134,0.0516549
10/1/1969,0.0133531,0.050482
1/1/1970,0.0109416,0.0543252
4/1/1970,0.027399,0.0550021
7/1/1970,0.0709427,0.0486652
10/1/1970,0.0926302,0.0486879
1/1/1971,0.1372802,0.0493008
4/1/1971,0.1517859,0.0488129
7/1/1971,0.1389556,0.0508407
10/1/1971,0.1354832,0.0459496
1/1/1972,0.1251965,0.048299
4/1/1972,0.1218876,0.0394459
7/1/1972,0.1307943,0.0391933
10/1/1972,0.1320172,0.0444071
1/1/1973,0.1333596,0.0391245
4/1/1973,0.1317917,0.0502331
7/1/1973,0.1212606,0.0598035
10/1/1973,0.105902,0.0662227
1/1/1974,0.0991095,0.0732204
4/1/1974,0.0977642,0.0810744
7/1/1974,0.0868905,0.0907616
10/1/1974,0.0833166,0.1006534
1/1/1975,0.075034,0.1044007
4/1/1975,0.0747943,0.0962885
7/1/1975,0.0837046,0.0856773
10/1/1975,0.0914143,0.0736598
1/1/1976,0.0990857,0.0620012
4/1/1976,0.0990169,0.057505
7/1/1976,0.1015262,0.0526727
10/1/1976,0.1129512,0.0533069
1/1/1977,0.1124727,0.0585336
4/1/1977,0.1145915,0.0622691
7/1/1977,0.1190102,0.0608269
10/1/1977,0.1166998,0.0642652
1/1/1978,0.1153683,0.0628425
4/1/1978,0.1126312,0.0665887
7/1/1978,0.1126226,0.0709461
10/1/1978,0.1128786,0.0703313
1/1/1979,0.1071804,0.0730008
4/1/1979,0.1046458,0.0792533
7/1/1979,0.1105069,0.0841163
10/1/1979,0.0938459,0.082972
1/1/1980,0.0952831,0.0863753
4/1/1980,0.0861463,0.0838639
7/1/1980,0.0817319,0.0849688
10/1/1980,0.0973514,0.0925068
1/1/1981,0.106096,0.0970735
4/1/1981,0.116204,0.0938621
7/1/1981,0.1197387,0.0890273
10/1/1981,0.1213751,0.0797905
1/1/1982,0.1119168,0.0678656
4/1/1982,0.1080557,0.0612532
7/1/1982,0.1022158,0.0577167
10/1/1982,0.0889315,0.0503332
1/1/1983,0.0955553,0.0450098
4/1/1983,0.0920208,0.0401474
7/1/1983,0.0831416,0.036268
10/1/1983,0.0925413,0.033084
1/1/1984,0.0896765,0.0373123
4/1/1984,0.0981323,0.0387296
7/1/1984,0.1011781,0.0365095
10/1/1984,0.1037495,0.0353039
1/1/1985,0.0980469,0.0340876
4/1/1985,0.0855579,0.0311861
7/1/1985,0.0802862,0.0273533
10/1/1985,0.0697337,0.0274779
1/1/1986,0.0699798,0.0214033
4/1/1986,0.0772,0.0208609
7/1/1986,0.0862753,0.0224838
10/1/1986,0.0866776,0.022565
1/1/1987,0.0780288,0.0256536
4/1/1987,0.0689929,0.0259504
7/1/1987,0.0587273,0.0276081
10/1/1987,0.0514256,0.0283238
1/1/1988,0.0606645,0.0285564
4/1/1988,0.0646953,0.0326302
7/1/1988,0.0619199,0.036304
10/1/1988,0.0634785,0.0365514
1/1/1989,0.0524603,0.0393526
4/1/1989,0.0408742,0.039374
7/1/1989,0.0398433,0.035349
10/1/1989,0.0369628,0.0347564
1/1/1990,0.0348702,0.0353946
4/1/1990,0.0305748,0.0374224
7/1/1990,0.0287174,0.039165
10/1/1990,0.0185576,0.0397557
1/1/1991,0.0257692,0.0396522
4/1/1991,0.0225826,0.0344921
7/1/1991,0.0085716,0.0327529
10/1/1991,0.0135181,0.0305148
1/1/1992,0.0075017,0.0247362
4/1/1992,0.0014733,0.0237904
7/1/1992,0.0100621,0.0212275
10/1/1992,0.0034987,0.0211613
1/1/1993,-0.0072642,0.022905
4/1/1993,0.0063907,0.0229416
7/1/1993,0.0033788,0.0227211
10/1/1993,0.0156639,0.0228184
