"dateid01","allords","ftse","nasdaq","nikkei"
1/1/1988,-4.7652,4.4868,4.2965,9.5437
2/1/1988,-0.5091,-1.2285,6.4694,6.8622
3/1/1988,13.1846,-1.4869,2.0708,4.0288
4/1/1988,2.9387,3.4261,1.228,4.4707
5/1/1988,7.5281,-0.9821,-2.3471,-0.062
6/1/1988,-0.7658,4.0964,6.5893,1.2839
7/1/1988,3.653,-0.2153,-1.8748,0.515
8/1/1988,-2.5563,-5.3949,-2.7627,-1.9561
9/1/1988,-1.2034,4.1572,2.9474,2.039
10/1/1988,2.2815,1.418,-1.3412,0.2113
11/1/1988,-7.2779,-3.239,-2.8758,5.7035
12/1/1988,1.0805,0.0391,2.6649,1.9609
1/1/1989,4.3095,14.4275,5.2176,4.715
2/1/1989,-4.2991,-2.4076,-0.3987,1.2824
3/1/1989,-1.6972,3.6256,1.7513,2.6668
4/1/1989,2.7816,2.0723,5.1389,2.6615
5/1/1989,1.9797,-0.17,4.3499,1.6433
6/1/1989,-0.5752,1.731,-2.4429,-3.8463
7/1/1989,7.4354,6.7875,4.2499,6.0852
8/1/1989,7.8938,3.9573,3.4156,-1.4963
9/1/1989,-1.554,-3.7062,0.7671,3.5027
10/1/1989,-5.1619,-6.8192,-3.6583,-0.2469
11/1/1989,-2.1018,6.2634,0.1097,4.8384
12/1/1989,2.3207,6.4081,-0.285,4.4192
1/1/1990,1.698,-3.525,-8.5752,-4.4378
2/1/1990,-6.0704,-3.504,2.405,-6.9832
3/1/1990,-2.5013,-0.3325,2.2781,-13.3326
4/1/1990,-5.2937,-6.4282,-3.5362,-1.3175
5/1/1990,3.9601,11.4909,9.2597,11.9858
6/1/1990,-0.7539,1.2579,0.719,-3.5948
7/1/1990,4.8711,-2.0382,-5.2131,-2.8303
8/1/1990,-4.2064,-7.0243,-13.0078,-16.2972
9/1/1990,-7.2433,-7.9804,-9.6275,-19.224
10/1/1990,-5.0915,3.0198,-4.2671,20.0629
11/1/1990,-0.5651,4.8334,8.8842,-10.8716
12/1/1990,-3.0234,-0.2745,4.0936,6.208
1/1/1991,3.2583,1.2503,10.8079,-2.3313
2/1/1991,6.364,9.7037,9.3916,13.3774
3/1/1991,2.739,3.1753,6.4445,-0.443
4/1/1991,6.2392,1.209,0.5018,-0.6884
5/1/1991,-1.5774,0.535,4.4129,-1.2294
6/1/1991,-0.2517,-3.3887,-5.9651,-9.6898
7/1/1991,4.3952,7.2056,5.4883,3.5636
8/1/1991,-2.0351,2.1979,4.7088,-7.4002
9/1/1991,1.4087,-0.9071,0.2283,7.0738
10/1/1991,7.7396,-2.1246,3.0557,5.4608
11/1/1991,-4.593,-5.682,-3.5139,-10.0507
12/1/1991,2.8461,3.0122,11.9183,1.3091
1/1/1992,-1.9317,3.1326,5.7765,-4.1812
2/1/1992,-0.3273,-0.3539,2.138,-3.1058
3/1/1992,-1.9576,-4.7617,-4.6885,-9.3397
4/1/1992,4.6316,8.7701,-4.1556,-10.1054
5/1/1992,1.3527,2.0157,1.1457,5.5028
6/1/1992,-2.0557,-6.8843,-3.7091,-13.0586
7/1/1992,-1.5878,-4.8231,3.0571,-0.2633
8/1/1992,-4.358,-3.6256,-3.0491,13.5198
9/1/1992,-4.0202,10.3952,3.5783,-3.6654
10/1/1992,-3.9865,4.1246,3.7547,-3.6324
11/1/1992,1.564,4.533,7.8589,5.4691
12/1/1992,7.0299,2.4363,3.7106,-4.292
1/1/1993,-1.4001,-1.3806,2.8643,0.5849
2/1/1993,5.32,2.1659,-3.6721,-0.4171
3/1/1993,3.5974,0.3731,2.8862,9.662
4/1/1993,0.8456,-2.2788,-4.1601,12.5222
5/1/1993,3.3244,0.9811,5.913,-1.7544
6/1/1993,0.0403,2.0875,0.4882,-4.6808
7/1/1993,6.0929,0.9138,0.1065,4.0327
8/1/1993,6.41,5.9286,5.4122,3.1747
9/1/1993,0.0866,-2.0161,2.6843,-4.3801
10/1/1993,7.5513,4.3951,2.1605,-2.0044
11/1/1993,-4.867,-0.1293,-3.1915,-16.7284
12/1/1993,8.1716,7.9415,2.9706,6.1559
1/1/1994,6.3121,2.1472,3.0471,16.1451
2/1/1994,-5.656,-4.6881,-0.9957,-1.1469
3/1/1994,-5.8254,-7.2624,-6.188,-4.4257
4/1/1994,0.6332,1.2604,-1.2939,3.2074
5/1/1994,0.6728,-4.9531,0.184,6.3321
6/1/1994,-4.3702,-1.727,-3.9758,-1.5734
7/1/1994,3.6398,5.5974,2.2947,-0.9446
8/1/1994,2.9396,5.4727,6.0181,0.8802
9/1/1994,-4.4013,-6.9203,-0.1737,-5.1626
10/1/1994,0.7936,2.3494,1.7271,2.1775
11/1/1994,-7.5362,-0.5166,-3.4946,-4.5723
12/1/1994,2.2267,-0.516,0.2186,3.3917
1/1/1995,-5.2877,-2.4107,0.4309,-5.4403
2/1/1995,4.8836,0.5917,5.102,-8.563
3/1/1995,-0.75,4.2734,2.9582,-5.3539
4/1/1995,7.5882,2.5112,3.2758,4.1326
5/1/1995,-1.4974,3.1927,2.4408,-8.1514
6/1/1995,-0.1238,-0.1446,7.9657,-5.9597
7/1/1995,4.9132,4.4862,7.2591,14.886
8/1/1995,0.7986,0.4187,1.8877,8.6281
9/1/1995,0.1406,0.8741,2.2968,-1.126
10/1/1995,-2.9167,0.5958,-0.7168,-1.4403
11/1/1995,4.1038,3.831,2.2335,6.1682
12/1/1995,2.0474,0.6823,-0.6675,5.9966
1/1/1996,3.8811,1.8974,0.7281,4.7564
2/1/1996,0.0655,-0.8432,3.7989,-3.3056
3/1/1996,-2.8122,-0.7485,0.1227,6.3702
4/1/1996,4.0978,3.1949,8.0915,2.9616
5/1/1996,-2.1884,-1.8361,4.4443,-0.3856
6/1/1996,-1.0591,-0.9819,-4.6975,2.6189
7/1/1996,-2.7563,-0.2102,-8.8125,-8.1576
8/1/1996,4.0545,4.4394,5.6367,-2.5419
9/1/1996,0.9565,2.2262,7.4831,6.8875
10/1/1996,2.6109,0.6424,-0.4409,-5.052
11/1/1996,1.6339,1.9829,5.8207,2.7019
12/1/1996,1.5072,1.4909,-0.1222,-7.8925
1/1/1997,-0.0371,3.8193,6.8798,-5.3251
2/1/1997,1.081,0.7601,-5.1346,1.2384
3/1/1997,-1.1266,0.1068,-6.6692,-2.9854
