"firm","dateid","area","fert","labor","prod","year"
1,1/1/1993,2.5,338,127,7.31,1993
1,1/1/1994,2.5,337.5,145,7.54,1994
2,1/1/1993,3.8,421,262,18.58,1993
2,1/1/1994,3.8,595.7,174,17.07,1994
3,1/1/1993,4.3,287,189,8.92,1993
3,1/1/1994,4.3,294,214,7.36,1994
4,1/1/1993,1.4,71,75,4.88,1993
4,1/1/1994,1.4,69.8,74,4.46,1994
5,1/1/1993,3.6,218,163,10.95,1993
5,1/1/1994,3.6,221.3,144,8,1994
6,1/1/1993,0.5,31,30,1.24,1993
6,1/1/1994,0.5,28.5,37,1.56,1994
7,1/1/1993,1.75,178,83,7.64,1993
7,1/1/1994,1.75,240,93,6.58,1994
8,1/1/1993,1.7,195,114,6.35,1993
8,1/1/1994,1.7,172.5,100,5.84,1994
9,1/1/1993,3,183,211,8.97,1993
9,1/1/1994,3,210,136,8.42,1994
10,1/1/1993,3.15,253,147,11.22,1993
10,1/1/1994,2.7,283.5,141,5.7,1994
11,1/1/1993,1.55,43,58,3.04,1993
11,1/1/1994,1.55,43.5,50,1.98,1994
12,1/1/1993,0.2,24.8,11,1.29,1993
12,1/1/1994,0.2,26.4,18,0.78,1994
13,1/1/1993,1.25,81,111,3.45,1993
13,1/1/1994,1.25,147,84,3.04,1994
14,1/1/1993,1.8,111,114,5.98,1993
14,1/1/1994,1.8,97.5,84,5.29,1994
15,1/1/1993,0.3,20,20,1.01,1993
15,1/1/1994,0.3,21,21,1.01,1994
16,1/1/1993,0.6,31,28,1.84,1993
16,1/1/1994,0.6,42,27,2.21,1994
17,1/1/1993,3.55,467,200,17.99,1993
17,1/1/1994,3.55,414,216,19.92,1994
18,1/1/1993,5.5,569.6,304,20.24,1993
18,1/1/1994,5.5,557.3,381,21.07,1994
19,1/1/1993,4,352,206,6.21,1993
19,1/1/1994,4,306,199,12.93,1994
20,1/1/1993,3.5,437.3,175,12.42,1993
20,1/1/1994,3.5,331.5,211,12.93,1994
21,1/1/1993,3.5,106,112,4.46,1993
21,1/1/1994,3.5,126,155,7.87,1994
22,1/1/1993,1.38,99.5,120,6.44,1993
22,1/1/1994,1.38,131.3,86,3.13,1994
23,1/1/1993,5.5,532,178,8.28,1993
23,1/1/1994,5.5,540,224,15.18,1994
24,1/1/1993,2.7,82,129,6.55,1993
24,1/1/1994,2.7,202.8,139.5,3.91,1994
25,1/1/1993,4.5,346.3,174,14.86,1993
25,1/1/1994,4.5,577.5,220,8.6,1994
26,1/1/1993,1.1,123,71,3.17,1993
26,1/1/1994,1.1,121.5,45,4.09,1994
27,1/1/1993,1.3,154,55,3.73,1993
27,1/1/1994,1.3,87,54,2.76,1994
28,1/1/1993,1.3,191,91,5.66,1993
28,1/1/1994,1.3,144,77,5.29,1994
29,1/1/1993,2,126,80,6.9,1993
29,1/1/1994,2,73.5,90,3.17,1994
30,1/1/1993,0.4,20,26,1.2,1993
30,1/1/1994,0.4,21,20,1.06,1994
31,1/1/1993,0.75,56,72,2.53,1993
31,1/1/1994,0.75,31.5,33,2.35,1994
32,1/1/1993,0.81,69.3,72,3.53,1993
32,1/1/1994,0.81,67.2,37,2.38,1994
33,1/1/1993,0.6,41,51,2.3,1993
33,1/1/1994,1.4,132,52,5.15,1994
34,1/1/1993,1,10,63,1.66,1993
34,1/1/1994,1,10.5,18,0.6,1994
35,1/1/1993,2,111,121,6.49,1993
35,1/1/1994,2,261,135,5.61,1994
36,1/1/1993,2.1,165,104,4.83,1993
36,1/1/1994,2.1,133.5,121,4.83,1994
37,1/1/1993,1,66,59,2.3,1993
37,1/1/1994,1,135,61,1.43,1994
38,1/1/1993,1,264,59,5.75,1993
38,1/1/1994,1,63,60,3.17,1994
39,1/1/1993,4.6,193,139,12.17,1993
39,1/1/1994,4.6,379.5,194,9.89,1994
40,1/1/1993,0.8,20,34,1.84,1993
40,1/1/1994,0.4,21,22,1.61,1994
41,1/1/1993,1.75,151.5,99,4.46,1993
41,1/1/1994,1.75,150,124,4.83,1994
42,1/1/1993,1.3,30,62,3.68,1993
42,1/1/1994,1.3,31.5,50,2.3,1994
43,1/1/1993,2.3,114.9,60,5.11,1993
43,1/1/1994,1.65,99.8,62,3.59,1994
44,1/1/1993,2,68,67,3.31,1993
44,1/1/1994,2,94.5,96,5.61,1994
