"dateid01","div","price"
1/1/1871,1.5994,4.4363
2/1/1871,1.5686,4.4196
3/1/1871,1.5539,4.429
4/1/1871,1.5913,4.494
5/1/1871,1.6134,4.542
6/1/1871,1.6292,4.5493
7/1/1871,1.6292,4.5306
8/1/1871,1.6448,4.559
9/1/1871,1.6214,4.5456
10/1/1871,1.6054,4.4771
11/1/1871,1.6054,4.488
12/1/1871,1.5831,4.4865
1/1/1872,1.5953,4.5114
2/1/1872,1.6094,4.5156
3/1/1872,1.6054,4.5329
4/1/1872,1.5953,4.5383
5/1/1872,1.6094,4.5383
6/1/1872,1.6273,4.5359
7/1/1872,1.6544,4.5448
8/1/1872,1.6582,4.5255
9/1/1872,1.662,4.5001
10/1/1872,1.6956,4.5263
11/1/1872,1.679,4.4929
12/1/1872,1.7047,4.5314
1/1/1873,1.712,4.5394
2/1/1873,1.6993,4.5253
3/1/1873,1.7066,4.5175
4/1/1873,1.7156,4.5037
5/1/1873,1.7457,4.5275
6/1/1873,1.7834,4.5434
7/1/1873,1.7901,4.5414
8/1/1873,1.7984,4.5414
9/1/1873,1.8066,4.4619
10/1/1873,1.8374,4.3937
11/1/1873,1.8764,4.3888
12/1/1873,1.8594,4.4549
1/1/1874,1.8453,4.4922
2/1/1874,1.8453,4.5219
3/1/1874,1.8453,4.5071
4/1/1874,1.8594,4.4948
5/1/1874,1.8672,4.4762
6/1/1874,1.8916,4.4956
7/1/1874,1.884,4.4876
8/1/1874,1.8916,4.4979
9/1/1874,1.8916,4.5134
10/1/1874,1.9081,4.5274
11/1/1874,1.9169,4.5445
12/1/1874,1.9169,4.5379
1/1/1875,1.9081,4.5379
2/1/1875,1.9006,4.5357
3/1/1875,1.8931,4.5488
4/1/1875,1.8779,4.5537
5/1/1875,1.8946,4.539
6/1/1875,1.9036,4.5356
7/1/1875,1.8961,4.538
8/1/1875,1.8795,4.534
9/1/1875,1.8795,4.5334
10/1/1875,1.8718,4.5172
11/1/1875,1.8718,4.5419
