"absent","aide","black","boy","freelunch","id","mathscore","readscore","regular","schid","schrural","schurban","small","tchexper","tchid","tchmasters","tchwhite","totalscore","white_asian"
5,1,1,1,0,10133,478,427,0,169280,0,0,0,7,16928003,0,1,905,0
28,1,0,0,0,10246,494,450,0,218562,0,1,0,8,21856202,1,1,944,1
2,0,1,0,1,10263,513,483,0,205492,0,0,1,3,20549204,0,1,996,0
10,0,0,1,0,10266,513,456,1,257899,1,0,0,12,25789904,1,1,969,1
3,1,0,1,0,10275,468,411,0,161176,1,0,0,2,16117602,0,1,879,1
2,0,0,1,0,10281,473,443,0,189382,0,0,1,7,18938204,1,1,916,1
7,1,0,1,1,10282,449,448,0,189382,0,0,0,14,18938203,1,1,897,1
8,0,0,0,1,10285,520,463,0,201449,1,0,1,4,20144901,1,1,983,1
2,0,0,1,0,10286,536,472,1,230612,1,0,0,6,23061203,1,1,1008,1
17,1,0,1,0,10287,484,428,0,128068,1,0,0,11,12806803,0,1,912,1
8,1,0,1,0,10289,626,545,0,262937,0,0,0,16,26293701,0,1,1171,1
0,0,1,1,0,10290,454,408,1,169219,0,0,0,12,16921902,1,1,862,0
31,1,0,1,0,10291,439,422,0,169229,0,0,0,5,16922904,0,0,861,1
7,1,0,0,0,10292,528,472,0,205491,0,0,0,17,20549104,0,1,1000,1
20,0,0,0,1,10295,463,437,0,161176,1,0,1,6,16117604,0,1,900,1
7,0,0,0,0,10299,484,450,1,168211,1,0,0,10,16821101,0,1,934,1
2,1,0,0,0,10300,547,497,0,173312,1,0,0,13,17331203,0,1,1044,1
19,1,0,0,1,10302,576,460,0,234628,1,0,0,9,23462803,1,1,1036,1
24,0,0,1,0,10303,449,408,1,244831,0,0,0,18,24483102,0,0,857,1
8,0,0,1,0,10308,576,467,0,189382,0,0,1,7,18938204,1,1,1043,1
9,1,0,1,0,10311,392,403,0,253888,1,0,0,13,25388801,0,1,795,1
7,0,1,1,0,10312,444,411,1,244755,0,1,0,1,24475504,0,0,855,0
4,0,0,1,1,10313,559,490,0,218562,0,1,1,14,21856201,1,1,1049,1
19,0,0,0,0,10316,576,503,0,262937,0,0,1,18,26293703,1,1,1079,1
3,1,0,1,0,10319,547,442,0,244801,0,0,0,8,24480103,0,0,989,1
4,0,0,0,1,10321,484,443,1,189396,1,0,0,4,18939602,0,1,927,1
15,1,0,0,0,10322,459,403,0,212522,0,1,0,,21252201,0,0,862,1
26,1,0,1,1,10323,444,424,0,253888,1,0,0,13,25388801,0,1,868,1
6,1,0,0,0,10326,459,413,0,205491,0,0,0,17,20549104,0,1,872,1
5,0,0,0,0,10329,576,495,1,262937,0,0,0,15,26293702,1,1,1071,1
10,1,0,0,1,10330,528,451,0,262937,0,0,0,16,26293701,0,1,979,1
3,0,1,0,1,10331,468,413,1,221571,1,0,0,13,22157103,1,1,881,0
15,1,1,0,1,10332,429,393,0,205489,0,0,0,3,20548903,0,1,822,0
13,1,0,0,0,10333,444,398,0,205491,0,0,0,17,20549104,0,1,842,1
2,0,0,0,1,10334,506,483,0,218562,0,1,1,11,21856203,0,1,989,1
1,0,0,0,0,10379,500,431,0,162184,1,0,1,2,16218404,0,1,931,1
12,1,1,0,1,10381,459,421,0,244736,0,1,0,11,24473601,0,1,880,0
7,0,1,0,1,10383,468,419,0,244818,0,1,1,10,24481802,1,0,887,0
2,1,1,0,1,10384,536,472,0,244736,0,1,0,11,24473601,0,1,1008,0
6,1,1,0,1,10386,412,405,0,244736,0,1,0,11,24473601,0,1,817,0
4,0,1,0,1,10391,439,416,0,244796,0,1,1,21,24479603,0,0,855,0
5,0,0,0,1,10395,468,445,0,162184,1,0,1,2,16218404,0,1,913,1
6,0,1,0,1,10396,489,428,0,244796,0,1,1,21,24479603,0,0,917,0
4,0,1,1,1,10424,500,414,0,244806,0,1,1,1,24480601,0,1,914,0
8,1,1,0,1,10425,489,467,0,159171,1,0,0,10,15917101,0,1,956,0
6,0,0,1,0,10432,559,461,0,169229,0,0,1,15,16922901,1,1,1020,1
4,0,0,1,1,10433,459,398,0,162184,1,0,1,6,16218403,1,1,857,1
3,1,1,0,1,10434,399,400,0,244723,0,1,0,17,24472301,1,1,799,0
17,1,1,1,1,10473,463,414,0,244723,0,1,0,17,24472301,1,1,877,0
7,0,0,1,0,10481,489,433,0,215533,1,0,1,6,21553303,1,1,922,1
9,1,0,1,0,10485,434,414,0,169229,0,0,0,5,16922904,0,0,848,1
7,0,0,1,1,10486,506,451,1,169229,0,0,0,13,16922903,1,1,957,1
3,0,1,0,1,10489,434,414,0,244723,0,1,1,1,24472303,0,0,848,0
5,1,1,1,1,10491,536,485,0,244806,0,1,0,20,24480602,0,0,1021,0
23,1,1,1,1,10541,434,397,0,244755,0,1,0,7,24475502,0,1,831,0
7,0,1,1,0,10726,473,411,0,244796,0,1,1,21,24479603,0,0,884,0
13,0,0,1,0,10763,459,427,1,169229,0,0,0,13,16922903,1,1,886,1
0,0,0,1,0,10764,536,461,1,169280,0,0,0,13,16928002,1,1,997,1
4,1,0,1,1,10766,454,414,0,180344,0,1,0,11,18034403,0,1,868,1
2,1,0,1,1,10767,547,451,0,201449,1,0,0,7,20144904,1,1,998,1
10,0,0,1,0,10783,494,448,1,257905,0,1,0,5,25790504,0,1,942,1
74,0,0,1,1,10803,418,393,1,215533,1,0,0,0,21553306,0,1,811,1
24,0,1,1,1,10817,439,440,1,244755,0,1,0,24,24475505,0,0,879,0
10,0,1,0,1,10825,449,407,0,244818,0,1,1,10,24481802,1,0,856,0
13,1,0,0,1,10857,434,419,0,201449,1,0,0,7,20144904,1,1,853,1
8,1,0,0,1,10899,459,443,0,193422,1,0,0,9,19342201,0,1,902,1
3,0,0,1,0,10935,484,440,1,169229,0,0,0,13,16922903,1,1,924,1
5,1,0,1,1,10960,444,390,0,112038,0,1,0,17,11203803,0,1,834,1
18,1,0,1,1,10961,478,402,0,112038,0,1,0,17,11203803,0,1,880,1
12,0,0,0,1,10964,454,407,1,128068,1,0,0,1,12806802,0,1,861,1
9,0,0,0,1,10969,429,403,1,166203,0,1,0,13,16620302,1,1,832,1
3,0,0,1,1,10975,429,408,1,112038,0,1,0,6,11203802,1,1,837,1
6,1,0,0,0,10984,459,436,0,189378,1,0,0,5,18937803,1,1,895,1
14,1,0,0,1,10986,418,422,0,128079,1,0,0,8,12807902,0,1,840,1
0,0,0,0,1,10987,459,428,1,205488,0,0,0,12,20548802,0,1,887,1
8,1,1,0,1,10998,384,398,0,221571,1,0,0,7,22157105,0,1,782,0
5,1,1,0,1,11004,405,382,0,215533,1,0,0,9,21553304,0,1,787,0
11,0,0,1,0,11005,602,450,1,244839,0,0,0,1,24483901,0,1,1052,1
