"id","schid","aide","black","boy","freelunch","mathscore","readscore","regular","schrural","schurban","small","tchexper","tchid","tchmasters","tchwhite"
19461,244831,0,0,1,0,459,419,1,0,0,0,18,24483102,0,0
17296,162184,1,0,1,1,528,431,0,1,0,0,5,16218402,1,1
15803,203457,0,0,0,1,454,433,0,1,0,1,15,20345703,0,1
14399,216536,0,0,1,0,439,413,0,1,0,1,8,21653603,1,1
12687,205491,0,0,1,0,463,403,0,0,0,1,15,20549102,0,1
14328,244774,0,1,0,1,489,514,0,0,1,1,6,24477402,0,0
13267,244755,0,1,0,1,478,431,1,0,1,0,24,24475505,0,0
13284,244727,1,1,0,0,439,430,0,0,0,0,12,24472703,0,0
18174,244755,1,1,0,1,484,414,0,0,1,0,7,24475502,0,1
13671,205492,0,1,0,1,478,430,1,0,0,0,24,20549203,1,1
16749,244736,0,1,1,1,602,463,0,0,1,1,6,24473603,0,1
14546,244780,0,1,1,1,528,422,1,0,1,0,10,24478002,0,0
15721,166203,0,0,1,0,547,463,0,0,1,1,1,16620304,0,1
14089,244708,0,1,1,1,405,382,1,0,1,0,3,24470804,0,0
21153,161183,1,0,1,1,439,395,0,1,0,0,10,16118302,1,1
14485,244818,0,1,0,1,434,400,1,0,1,0,9,24481804,0,0
16560,244801,0,1,1,1,444,403,1,0,0,0,0,24480101,0,1
10326,205491,1,0,0,0,459,413,0,0,0,0,17,20549104,0,1
15931,221571,0,1,1,1,429,424,1,1,0,0,13,22157103,1,1
10311,253888,1,0,1,0,392,403,0,1,0,0,13,25388801,0,1
10289,262937,1,0,1,0,626,545,0,0,0,0,16,26293701,0,1
15189,159171,1,1,1,1,500,418,0,1,0,0,10,15917101,0,1
16790,252885,0,0,0,0,478,433,1,1,0,0,5,25288503,0,1
17559,221571,0,0,1,0,418,402,1,1,0,0,13,22157103,1,1
21002,262937,0,0,1,0,489,461,0,0,0,1,18,26293703,1,1
19514,165199,1,0,0,0,463,422,0,0,1,0,12,16519903,1,1
17352,169231,0,1,0,1,365,391,0,0,1,1,9,16923102,0,1
12281,261927,1,0,1,0,478,439,0,1,0,0,11,26192701,1,1
14664,189396,0,0,1,1,468,405,1,1,0,0,4,18939602,0,1
12072,168211,1,0,0,1,494,408,0,1,0,0,14,16821105,0,1
16876,264945,0,0,0,0,528,451,0,0,0,1,5,26494504,0,1
15375,234628,0,0,1,0,489,419,1,1,0,0,8,23462805,0,1
19465,264945,0,0,1,0,576,485,0,0,0,1,5,26494504,0,1
12836,216536,0,0,1,0,513,425,0,1,0,1,22,21653604,0,1
15023,244818,0,1,0,0,484,436,1,0,1,0,9,24481804,0,0
21358,216536,0,0,0,0,500,436,1,1,0,0,1,21653605,0,1
21268,176329,0,0,0,1,513,474,1,1,0,0,2,17632901,0,1
