"default","arm","refinance","lien2","term30","underwater","ltv","rate","amount","fico"
0,1,1,0,1,1,67.4000015258789,5.98999977111816,37,707
0,1,1,0,1,1,75,7.57999992370605,19.5,667
0,0,1,0,1,0,42,5.76700019836426,8.94600009918213,731
0,1,0,0,1,1,78.5999984741211,6.25,18,742
0,1,0,0,1,1,86,7.5,15.4799995422363,674
1,0,1,0,1,1,57.939998626709,5.625,11.1000003814697,685
1,1,1,0,1,1,72.9100036621094,5.875,40.0999984741211,642
1,1,1,0,1,1,80,6.625,12.3999996185303,634
0,0,0,0,1,0,85,6.98999977111816,12.7414999008179,754
0,0,1,0,1,0,54.0999984741211,5.75,16.5,661
0,0,1,0,1,1,83.129997253418,6.5,20.7000007629395,559
0,0,1,0,1,1,80,2,23.4400005340576,632
1,0,1,0,1,1,89.7600021362305,5.75,38.1500015258789,656
0,1,0,0,1,1,94.9899978637695,8.625,55.9500007629395,624
0,1,1,0,1,1,79.2699966430664,8.22500038146973,32.5,610
0,1,1,0,1,1,80,5,20.3199996948242,504
0,1,1,0,1,1,83.0500030517578,6.25,26.9899997711182,626
1,1,0,0,1,1,80,6.5,18,600
0,0,1,0,1,1,47.2700004577637,5.98999977111816,13,809
0,0,1,0,1,1,66.6699981689453,6.98999977111816,14,630
1,1,0,0,1,1,80,5,22.3999996185303,581
0,1,1,0,1,1,80,10.25,24.3999996185303,504
0,1,1,0,1,1,85,2,20.3999996185303,614
0,1,1,0,1,1,75,8.94999980926514,19.5,602
1,1,1,0,1,1,95,5.5,32.2999992370605,635
0,1,1,0,1,1,70,8.42500019073486,31.1499996185303,588
1,1,1,0,1,1,85,5.125,28.0499992370605,574
0,0,1,0,1,1,61.2000007629395,6.96199989318848,15.3000001907349,548
1,1,1,0,1,1,80,3.4300000667572,24.9599990844727,586
0,1,1,0,1,1,69.9100036621094,3.5,46.0019989013672,633
1,1,0,0,1,1,80,10.5,25.4400005340576,536
1,1,1,0,1,1,80,5,27.2000007629395,643
0,1,1,0,1,1,80,5.25,18.8799991607666,552
0,1,0,0,1,1,78.8099975585938,5,26.3999996185303,741
0,0,0,1,1,0,19.7000007629395,5,6.59999990463257,741
0,1,1,0,1,1,80,7.875,22.1599998474121,638
0,1,1,0,1,1,51.1599998474121,5.01000022888184,11,546
1,1,1,0,1,1,100,4.5,31.1700000762939,631
0,1,0,0,1,1,100,5,26,628
0,1,1,0,1,1,85,7.46999979019165,15.4700002670288,589
1,1,1,0,1,1,80,10.4499998092651,18,596
0,0,1,0,1,1,90,8.89999961853027,17.1000003814697,661
1,1,0,0,1,1,80,5.07499980926514,22,726
0,1,0,0,1,1,80,6.875,16.431999206543,735
1,0,0,1,0,0,20,9.98999977111816,4.10799980163574,735
0,0,1,0,1,1,72.4100036621094,7.84999990463257,19.5499992370605,529
1,1,0,0,1,1,95,6.5,30.6849994659424,666
1,1,0,0,1,1,80,7.69999980926514,14.8000001907349,602
0,0,0,1,1,0,19.6000003814697,10.5,9.80000019073486,656
1,0,1,0,0,1,108.800003051758,5.98999977111816,21.7600002288818,580
1,1,0,0,1,1,90,8.625,36.6300010681152,577
0,1,1,0,1,0,90,5.75,19.7999992370605,651
1,1,0,0,1,1,80,7.25,16.7999992370605,639
0,1,0,0,1,1,80,7,19.2000007629395,631
0,1,1,0,1,1,68.4199981689453,5.625,19.5,534
0,0,1,0,1,0,50.8300018310547,6.72499990463257,9.19999980926514,752
0,0,1,0,1,0,58.8199996948242,8.60000038146973,5,585
0,1,1,0,1,1,69,4.875,10,661
0,0,0,1,1,0,20,10.9899997711182,4.01000022888184,699
0,0,1,0,1,1,90,6.98999977111816,16.5599994659424,614
0,0,1,0,1,1,80,6.65000009536743,30.7999992370605,655
0,1,1,0,1,1,80,9.09000015258789,21.2000007629395,517
1,1,0,0,1,1,79.0800018310547,7.375,20.7199993133545,696
1,1,0,0,1,1,82.8600006103516,7.375,23.2000007629395,600
0,0,1,0,1,1,80,6.125,18.9599990844727,668
0,1,1,0,1,1,80,7.74499988555908,18.3999996185303,596
0,0,1,0,1,0,49.3400001525879,7.55000019073486,18.6499996185303,578
0,1,1,0,1,1,50.189998626709,5.125,12.8999996185303,501
0,0,1,0,1,1,93.0599975585938,6.98999977111816,22.7999992370605,600
0,1,1,0,0,1,75.8600006103516,4,22,684
0,0,1,0,1,1,70,5.98999977111816,14,660
0,0,1,1,0,0,15,8.25,2.74499988555908,754
1,0,0,0,1,1,98.4499969482422,6.5,9.74699974060059,743
0,0,0,0,1,1,89.8399963378906,5.80000019073486,13.4759998321533,789
0,0,0,0,1,0,80,5.875,11.1999998092651,797
1,0,0,1,1,1,68.6600036621094,5,6.65999984741211,659
0,1,1,0,1,1,53,7.65000009536743,15,614
0,0,0,1,1,0,56.1100006103516,2,5.61079978942871,613
0,0,1,1,0,1,64.5199966430664,10.4499998092651,4,664
0,1,1,0,1,1,75,6,21.8250007629395,504
0,1,1,0,1,1,75,7.94999980926514,14.7749996185303,633
0,1,0,0,1,1,80,6.59000015258789,13.6000003814697,654
1,1,1,0,1,1,109,6.5,22.8899993896484,589
0,1,1,0,1,1,94.2200012207031,5.125,21.2000007629395,619
0,0,0,1,1,0,20,13.1499996185303,5.5,609
0,0,1,0,1,1,57.3699989318848,5.75,21.7999992370605,685
0,0,0,1,1,0,69.25,3.74699997901917,4.6399998664856,602
0,0,0,1,0,0,35,8.25,21.875,695
0,0,0,1,0,0,20,8.875,4.45499992370605,722
0,0,0,1,1,0,15,7.625,4.00500011444092,810
0,0,0,1,0,1,61.2400016784668,3.95000004768372,4.96999979019165,716
0,0,0,1,1,0,20,10.125,8.19999980926514,733
0,0,1,1,1,0,20,11.5500001907349,6,634
0,0,0,1,0,1,47.75,10.125,11.125,691
0,0,1,1,0,0,17.1900005340576,7.5,5.5,690
0,0,0,1,0,1,50.7200012207031,9.875,6.34000015258789,734
0,0,0,1,0,0,52.310001373291,2,6.80000019073486,687
0,0,1,0,0,0,46.7299995422363,7.3899998664856,16.6000003814697,660
0,0,0,1,0,0,20,11.75,4.5,616
0,0,0,1,0,1,89.3600006103516,5.74100017547607,4.19999980926514,666
0,0,0,1,0,0,20,12.6999998092651,7.59800004959106,638
0,0,0,1,0,0,67.6500015258789,2,4.59999990463257,644
0,1,1,0,1,1,80,6.51999998092651,34,675
0,1,1,0,1,1,76.120002746582,5.15000009536743,20.3999996185303,611
0,1,1,0,1,1,90,7.48000001907349,25.2000007629395,626
0,0,1,0,1,1,51.0099983215332,6.84999990463257,10.1499996185303,658
0,0,1,1,1,0,37.1399993896484,9.875,2.59999990463257,688
0,0,0,1,0,0,54.2900009155273,5.75,5.69999980926514,696
0,1,0,1,0,0,13.75,4,7.69999980926514,732
0,0,0,1,0,0,8,12.875,2,690
0,0,0,1,0,0,20,9.5,6.3289999961853,756
0,0,0,1,0,0,10,10.5,2.88000011444092,672
1,0,0,1,0,0,10,10.6700000762939,2.82999992370605,728
0,0,0,1,1,0,20,6,5.3600001335144,696
0,1,0,0,1,1,85.3600006103516,3.5,20.3999996185303,592
1,1,0,0,1,1,80,8.94999980926514,20.3999996185303,616
0,0,1,0,1,1,69.4199981689453,6.5,27.7000007629395,628
0,0,1,0,1,0,64.9599990844727,6.94999980926514,8.25,632
0,1,0,0,1,1,90,7.94999980926514,15.0299997329712,583
1,0,1,0,1,1,90,7.60699987411499,17.1000003814697,653
0,0,1,0,1,1,90,6.87099981307983,31.9500007629395,724
0,0,1,0,0,1,69.7699966430664,6.79300022125244,24.4200000762939,654
0,1,0,0,1,1,108.889999389648,3.95000004768372,7.84000015258789,631
0,0,0,1,1,0,27.2199993133545,2,1.96000003814697,631
0,0,0,1,1,0,70.129997253418,6,5.40000009536743,694
0,0,1,0,1,1,80,6.15000009536743,123.199996948242,736
0,0,1,1,1,0,45.2400016784668,9.98999977111816,5.69999980926514,656
0,0,1,0,0,0,37.5999984741211,5.71000003814697,4.69999980926514,604
0,0,1,0,1,1,94.370002746582,7.67000007629395,25.4799995422363,681
0,0,1,0,1,1,88.2399978637695,5.75,30,717
0,0,0,1,1,0,76.6699981689453,2,4.59999990463257,714
0,0,0,1,1,0,83.6399993896484,2,4.59999990463257,630
0,0,1,0,1,1,61.3600006103516,5.75,8.59000015258789,708
0,0,1,0,1,1,77.2699966430664,6.54099988937378,17,759
0,0,1,0,1,1,59.0699996948242,5.91200017929077,12.6999998092651,656
0,0,1,0,1,1,81.6800003051758,6.93300008773804,20.4200000762939,674
0,1,1,0,1,1,80,4.40100002288818,20,662
0,1,1,0,1,1,80,5.375,12.3999996185303,591
0,1,1,0,1,1,80,5.625,37.5999984741211,715
0,0,0,0,1,0,80,6.5,24,699
0,1,0,0,1,1,75,4.125,35.625,687
0,1,1,1,0,0,21.9899997711182,3.875,13.6350002288818,663
0,1,0,0,1,1,80,3.375,22.7999992370605,796
0,0,1,0,0,0,62.439998626709,5.75,5.61999988555908,719
0,0,0,0,1,1,70,6.5,14.6999998092651,816
0,1,1,0,1,1,64.4300003051758,3.375,19.3299999237061,730
0,0,1,0,1,1,80,5.875,18.3999996185303,720
0,1,1,0,1,1,57.5800018310547,5.25,19,717
0,1,1,0,1,1,63.3800010681152,5.125,45,756
0,1,1,0,1,1,80,6.375,16.2399997711182,665
0,1,0,0,1,1,80,6.75,19.9200000762939,703
0,1,0,0,0,0,29.5699996948242,4.375,2.15000009536743,729
0,1,1,0,1,1,80,2.82100009918213,21.0400009155273,727
0,1,0,0,0,1,47.4799995422363,4.625,5.69799995422363,708
0,1,1,0,0,1,64.0999984741211,4.12099981307983,23.6530990600586,666
0,1,1,0,1,1,62.5,5.875,20,772
0,1,1,0,1,1,76.0899963378906,3.87100005149841,17.5,692
0,1,1,0,1,1,80,5.625,24,664
0,1,1,0,1,1,80,6.125,25.4400005340576,743
0,1,0,0,1,1,95,4.69600009918213,19.9500007629395,722
0,1,1,0,0,1,85.8199996948242,2,23.6000003814697,771
0,1,0,1,0,1,62.2700004577637,3.875,5.48000001907349,742
0,1,1,1,0,0,40,4.25,5,718
0,0,1,1,0,0,28.2999992370605,8.875,15,762
0,1,1,0,1,0,37.8800010681152,2.79099988937378,27.5,756
0,1,1,0,0,1,61.5400009155273,3.97099995613098,20,795
0,1,1,0,1,1,80,3.1710000038147,28,746
0,1,0,0,1,1,80,2,22.0400009155273,703
0,1,1,0,0,1,78.5699996948242,3.72099995613098,22,724
0,1,1,0,0,1,60.9799995422363,3.37100005149841,15,753
0,1,1,0,1,0,37.2099990844727,6.75,22.7000007629395,789
0,1,0,0,1,1,80,7.25,13.4399995803833,751
0,1,1,0,0,1,72.2600021362305,3.87100005149841,28,663
1,1,1,0,0,1,75,4.22100019454956,22.5,661
0,0,1,0,1,0,69.9700012207031,8.73999977111816,7.55000019073486,612
0,0,0,1,0,0,20,9.39999961853027,5.76000022888184,668
0,1,0,0,1,1,79.7600021362305,4.75,13.2399997711182,641
0,1,0,0,1,1,77.7799987792969,3.375,35,754
0,1,1,0,1,1,69.5199966430664,3.75,20.2999992370605,697
1,1,0,0,1,0,18.5699996948242,4.125,12.7200002670288,751
0,1,0,0,1,1,80,2.875,10.0799999237061,714
0,1,0,0,1,1,90,2.625,21.1499996185303,772
0,1,1,0,1,1,60.6699981689453,2.625,33.3699989318848,722
0,1,0,0,1,1,80,3.625,29.2000007629395,768
0,1,0,0,1,1,65.629997253418,2.75,18.375,773
0,1,0,0,1,1,60,2.625,26.7000007629395,800
0,1,0,0,1,1,80,3.125,18,771
0,1,1,0,1,1,70,3.625,45.5,758
0,1,0,0,1,1,56.6699981689453,2.625,25.5,716
0,1,0,0,1,1,79.5599975585938,3,21.8799991607666,720
0,1,1,0,1,1,75,3.25,22.6499996185303,697
0,1,1,0,1,1,73.2200012207031,2.75,51.4000015258789,642
0,1,0,0,1,1,79.629997253418,2.625,25.4799995422363,754
0,1,0,0,1,1,80,3.125,22.3999996185303,752
0,1,0,0,1,1,80,3,20.3999996185303,700
0,1,0,0,1,1,80,3.375,17.2000007629395,749
0,1,1,0,1,1,76.8000030517578,4.875,19.2000007629395,684
0,1,0,0,1,0,31.4799995422363,3.875,8.5,701
0,1,0,0,1,1,80,4.625,15.4399995803833,689
0,1,1,0,1,1,80,3.625,13.6000003814697,665
0,1,1,0,1,1,76,3.5,22.4200000762939,760
0,1,0,0,1,1,79.2300033569336,2.75,24.5599994659424,691
0,1,0,0,1,1,80,3.25,12.960000038147,758
0,1,1,0,1,1,67.5,3.75,27,743
0,1,1,0,1,1,49.1399993896484,3,17.2000007629395,705
0,1,0,0,1,1,75,5.625,17.25,816
1,1,1,0,1,1,83.3300018310547,2.75,19.9999008178711,663
0,1,1,0,1,1,53.9599990844727,2.875,14.3000001907349,679
0,1,1,0,1,1,59.7000007629395,2.875,15.6999998092651,679
0,1,1,0,1,1,80,2.75,14.8000001907349,706
0,1,1,0,1,1,61.2900009155273,2.625,19,718
0,1,0,0,1,1,76.3199996948242,3.375,22.3999996185303,686
1,1,0,0,1,1,78.620002746582,4.25,22.7999992370605,711
0,1,0,0,1,1,80,2.625,23.6800003051758,742
0,1,0,0,1,1,80,2.625,34.4000015258789,762
0,1,0,0,1,1,80,4,18,728
0,1,0,0,1,1,63.5900001525879,3.625,24.4815998077393,742
0,1,0,0,1,1,79.8000030517578,4,31.9200000762939,670
0,1,0,0,1,1,73.4599990844727,2.75,19.1000003814697,672
0,1,1,0,1,1,69.7099990844727,2.75,21.3999996185303,672
0,1,1,0,1,1,80,3.125,30,638
0,1,1,0,1,1,52.3800010681152,5.5,16.5,704
0,1,1,0,1,1,78.2200012207031,5.5,35.2000007629395,676
0,1,0,0,1,1,80,3.125,20,780
0,1,0,0,1,1,77.2699966430664,3.125,20.3999996185303,671
0,1,1,0,1,1,59.25,3.875,23.7000007629395,742
0,1,0,0,1,1,75,2.75,24,740
0,1,0,0,1,1,80,3.125,40.7999992370605,674
0,1,0,0,1,1,78.3600006103516,6,22.8799991607666,703
0,1,0,0,1,1,80,3.125,16.7999992370605,677
0,1,0,0,1,1,80,6.125,16.3999996185303,769
0,1,0,0,1,0,46.2200012207031,5.875,35.5,728
0,1,0,0,1,1,74.7200012207031,4.5,18.6800003051758,693
0,1,0,0,1,1,70,6.25,18.6900005340576,744
0,1,0,0,0,1,79.8199996948242,5.125,17.4799995422363,642
0,1,0,0,1,1,90,3.875,24.5699996948242,768
0,1,1,0,1,1,65.8499984741211,5.875,27,654
0,1,0,0,1,1,79.0699996948242,4,23.7199993133545,672
0,1,0,0,1,1,80,6.75,31.6800003051758,664
0,1,0,0,1,1,80,6.125,19.2000007629395,659
0,1,0,0,1,1,78.620002746582,5,22.7999992370605,819
0,1,1,0,1,1,69.620002746582,2.75,11,781
0,1,0,0,1,1,79.5999984741211,4.875,50.1500015258789,704
0,1,0,0,1,1,80,6.875,16.5599994659424,672
0,1,0,0,1,1,80,6,18,723
0,1,0,0,1,1,70,6.125,17.5,781
0,1,0,0,1,1,61.8300018310547,5.875,16.2000007629395,719
0,1,0,0,1,1,80,5.75,28,705
