"default","arm","refinance","lien2","term30","underwater","ltv","rate","amount","fico"
1,0,1,0,1,1,75,4.25,17.625,644
1,0,0,0,1,1,80,7.23999977111816,18.7119998931885,654
0,1,1,0,1,1,75,7.75,30,647
1,1,1,0,1,1,80,5,20,504
0,0,0,0,1,1,80,6,46.7999992370605,798
1,1,0,0,1,1,80,7.80000019073486,26.3600006103516,679
0,0,0,0,1,1,80,3.5,14.3599996566772,755
0,1,1,0,1,1,78.75,7.75,25.2000007629395,626
0,0,1,1,1,0,15,6.5,4.65000009536743,653
1,1,0,0,1,1,80,6.25,21.6000003814697,775
1,0,0,0,1,1,80,8.625,19.2000007629395,688
1,1,0,0,1,1,90,8.85000038146973,23.8500003814697,607
1,0,0,0,1,1,79.4899978637695,4.125,25.0400009155273,622
0,1,0,0,1,1,77.0899963378906,6.98999977111816,16.9599990844727,620
0,1,1,0,1,1,65.629997253418,3.1710000038147,26.25,716
0,1,0,0,1,1,79.5999984741211,5.875,55.1599998474121,767
0,0,1,0,1,1,75,6.875,24.375,684
0,1,1,0,1,1,75,6.57999992370605,22.4249992370605,658
0,0,0,0,1,1,80,6.375,48,780
1,0,1,0,1,1,70,3.875,15.3999996185303,737
1,0,1,0,1,1,85,7.44999980926514,16.1499996185303,613
1,0,1,0,1,1,79.6699981689453,3.375,16.7299995422363,680
0,1,0,0,0,1,79.9100036621094,5,36.2813987731934,656
0,1,1,0,1,1,65,3.47099995613098,23.7250003814697,683
0,1,1,0,1,1,74.629997253418,6.09999990463257,15.3000001907349,580
0,1,0,0,1,1,80,3.125,32.1380004882813,716
0,1,1,0,1,1,73.2200012207031,2.75,51.4000015258789,642
0,0,1,0,1,1,78.3899993896484,6.84999990463257,37,695
0,1,1,0,1,0,44.2400016784668,6.5,18.7999992370605,737
0,1,0,0,1,1,80,9.19999980926514,23.9599990844727,650
0,1,1,0,1,1,85,8.30000019073486,22.7800006866455,588
0,0,1,0,1,1,69.5,6.375,19.6000003814697,778
0,1,1,0,1,1,80,4,33.2000007629395,756
1,0,0,0,1,1,80,3.875,18.8799991607666,664
0,0,1,0,1,1,66.6699981689453,6.75,100,749
1,1,0,0,0,1,79.9000015258789,3.875,32.8400001525879,792
1,1,1,0,1,1,79.2099990844727,3.375,24,733
0,1,0,0,1,1,80,3.125,25.6543998718262,745
0,0,1,0,1,1,52,8.875,12.9479999542236,558
0,1,0,0,1,1,78.9800033569336,6.625,18.5599994659424,727
0,1,1,0,1,0,41.6699981689453,3.125,100,677
0,0,1,0,1,0,47.3899993896484,6.25,20.8500003814697,718
0,0,1,0,0,0,48.1500015258789,5.625,15,666
0,0,1,0,1,1,79.3099975585938,6.90000009536743,23,632
0,0,1,0,1,1,59.6300010681152,6,13,534
0,1,1,0,1,1,90,2.14000010490417,23.3999996185303,567
0,0,0,0,1,1,75,3.75,15.75,777
0,1,0,0,1,1,80,2.625,21.2000007629395,771
0,1,0,0,1,0,80,7,21.5200004577637,695
1,1,0,0,1,1,80,6,22.7999992370605,663
0,1,0,0,1,1,80,6.25,100,792
1,0,1,0,1,1,68.5500030517578,5.90000009536743,25.5,654
1,0,1,1,1,0,25.4099998474121,9.375,8.64000034332275,750
0,0,1,1,1,0,24.4300003051758,7.75,6.01000022888184,748
0,0,1,0,1,1,70,8,19.7399997711182,556
0,1,0,0,1,1,77.1900024414063,4,17.6000003814697,769
0,1,0,0,1,1,80,5.375,73.1999969482422,784
0,0,0,0,1,1,95,2,30.875,687
0,1,0,0,1,1,68.629997253418,6.875,21,678
1,1,1,0,0,1,70,3.02099990844727,20.4400005340576,635
0,0,0,0,1,1,75.879997253418,6.375,17.2999992370605,797
1,0,1,0,1,1,95,9,27.0750007629395,552
0,1,1,0,1,1,90,4.625,27,684
1,0,1,0,1,1,75,6.625,18.1499996185303,750
1,0,0,0,1,1,69.9800033569336,7.5,20.9930000305176,662
0,1,1,0,1,0,45.1699981689453,3.375,27.1000003814697,730
0,0,1,0,1,1,62.1300010681152,6.875,16.8999996185303,727
0,0,1,0,1,1,74.25,6.625,62,685
0,1,0,0,1,1,80,6.75,22,687
0,1,0,0,1,1,77.4899978637695,3.5,19.7600002288818,743
1,1,0,0,1,1,80,6.5,39.3041000366211,736
0,0,1,0,1,1,69.9199981689453,7.5,26.5,639
1,1,1,0,1,1,85,8.14999961853027,18.2749996185303,527
0,1,1,0,1,1,80,3.875,22,755
0,0,1,0,1,1,75,6.125,16.5,705
1,0,0,0,1,1,77.8300018310547,8,18.6800003051758,633
1,0,1,0,1,1,80,6.25,23.2000007629395,787
0,0,1,0,1,1,85,6.5,20.0599994659424,690
0,0,0,0,1,1,74.8600006103516,3,27.7000007629395,657
1,0,1,0,1,1,75,3.875,12.6750001907349,696
0,0,1,0,0,1,62.0900001525879,6.25,11.3000001907349,761
0,0,1,0,1,1,72.0899963378906,5.5,15.5,667
0,0,1,0,1,1,51.9199981689453,7.25,40.5,700
1,1,0,0,1,1,80,8.02499961853027,17.6000003814697,665
0,0,0,0,0,0,31.9099998474121,6.125,7.5,784
1,0,0,1,0,0,20,11.3999996185303,5.26000022888184,670
0,1,0,0,1,1,95,5.125,17.6700000762939,552
0,1,0,0,1,1,80,5.75,20.3999996185303,755
1,0,1,0,1,1,90,5.875,54,682
1,0,1,0,1,1,85,8.25,20.2299995422363,638
0,1,0,0,1,0,61.5400009155273,3.125,80,677
1,0,0,1,1,0,20,12,4.30000019073486,689
0,0,1,0,1,1,84.5500030517578,7.625,15.6000003814697,617
0,0,0,0,1,1,80,3,30,697
0,1,1,0,1,1,79.1900024414063,3.875,29.2999992370605,774
0,0,1,0,1,1,71.25,3.875,19.9500007629395,638
0,1,1,0,1,1,70,8.42500019073486,31.1499996185303,588
0,0,1,0,1,1,74,6.125,17.0200004577637,667
0,1,1,0,1,1,70,5.84999990463257,93.4499969482422,777
1,1,1,0,0,1,64.7099990844727,6.5,22,504
0,0,0,1,1,0,18.0599994659424,10.75,12.1000003814697,756
0,1,1,0,1,1,90,8.19999980926514,14.6700000762939,646
1,0,1,0,1,1,90.2799987792969,6.15000009536743,26.1800003051758,645
0,1,1,0,1,1,75,2.27099990844727,24,759
0,1,0,0,1,1,79.9100036621094,3.25,18.220100402832,713
0,0,1,1,1,0,15.2600002288818,6.23999977111816,4.90000009536743,696
0,1,0,1,1,0,18.8500003814697,6.65000009536743,8.19999980926514,652
1,0,1,0,1,1,70,6.5,17.1499996185303,628
0,0,0,0,1,1,55.560001373291,6.125,50,790
1,1,0,0,1,1,75.8499984741211,5.625,45.8899993896484,759
1,1,0,0,1,1,79.7099990844727,6.5,22.0799999237061,688
0,0,0,0,1,1,55.939998626709,6.5,20.8099994659424,775
1,0,0,0,1,1,75,6.625,24,722
0,0,0,0,1,1,76.0599975585938,5.625,24.7999992370605,672
1,1,0,0,1,1,80,7.25,18.5279998779297,639
0,1,1,0,1,1,73.6500015258789,5.875,67.0199966430664,731
0,0,0,0,1,1,80,5.25,53.5448989868164,684
0,0,1,0,1,1,80,8,32,569
1,1,0,0,1,1,80,6.98999977111816,25.7591991424561,743
1,0,1,0,1,1,80,3.875,17.2000007629395,752
1,0,0,0,1,1,95,6.57999992370605,28.4950008392334,654
0,1,0,0,1,1,80,3.75,34,714
0,1,1,0,1,1,70,3.125,84,742
0,0,0,0,1,0,56.5200004577637,5.875,13,779
0,1,1,0,1,1,74.0299987792969,4.09999990463257,22.9500007629395,655
1,0,1,0,1,1,75,7.875,19.5750007629395,709
1,1,0,0,1,1,79.1500015258789,8.85000038146973,18.7199993133545,655
0,0,0,1,1,0,15,8.5,26.7000007629395,728
0,0,1,0,1,1,72.8600006103516,5.875,15.3000001907349,620
0,0,0,0,1,1,80,6.75,16.3999996185303,755
1,1,0,0,1,1,75.9300003051758,6.75,22.3999996185303,682
1,0,1,0,1,1,89.4499969482422,6.75,24.6000003814697,560
1,0,1,0,0,1,80,8.10000038146973,17.2800006866455,658
1,1,1,0,1,1,80,6.75,22.3999996185303,678
0,1,0,0,1,1,80,5,21.5200004577637,680
1,0,1,0,1,1,60,6.75,18.2399997711182,612
0,0,1,0,1,0,54.25,6.125,6.51000022888184,730
0,0,0,1,1,0,15,11.25,3.52500009536743,765
0,0,1,0,1,1,69.9400024414063,6.25,54.2000007629395,662
1,1,1,0,1,1,75,6.625,110.25,686
1,1,0,0,1,1,90,5.5,13.5,578
1,0,0,1,1,0,15,12,5.25,665
1,0,1,0,1,1,80,9.05000019073486,21.6000003814697,603
0,0,1,0,1,1,79.7699966430664,3.875,14,630
0,0,1,0,1,1,57.0699996948242,6.09999990463257,21.3999996185303,662
0,0,1,0,1,1,63.6199989318848,8.375,14.9499998092651,562
0,1,0,0,1,1,80,3.25,31.1599998474121,740
0,1,0,0,0,1,62.6699981689453,7.75,18.7999992370605,700
1,0,0,0,1,1,80,3.125,25.6000003814697,680
1,1,0,0,1,1,80,2.32100009918213,31.2800006866455,732
0,0,0,0,1,0,20,9.875,4.23999977111816,682
0,0,1,0,1,1,67.5,7,18.8999996185303,582
0,1,1,0,1,1,73.3300018310547,3.125,16.5,764
0,1,1,0,1,1,80,2.32100009918213,30.7999992370605,760
0,0,1,0,1,1,79.620002746582,6.375,20.7000007629395,791
0,1,1,0,1,1,85,3,20.7399997711182,571
0,0,1,0,1,1,79.7300033569336,6.5,39.0699996948242,714
0,1,0,0,1,1,80,3.125,84,736
0,1,0,0,1,1,80,7.375,18.3999996185303,758
0,0,0,0,0,0,20,10,4.19999980926514,754
0,0,1,0,1,1,63.8300018310547,6.25,49.4700012207031,685
0,0,1,0,1,1,74.379997253418,6.375,19.3400001525879,659
1,0,0,0,1,1,79.9800033569336,5.875,25.5919990539551,694
0,1,0,0,1,1,70.4000015258789,6.40000009536743,15.8400001525879,771
0,0,0,1,0,0,14.4899997711182,10.625,5.92500019073486,691
1,0,1,0,1,1,80,4,21.2000007629395,635
1,0,1,0,1,1,80,3.875,19.6000003814697,661
0,0,1,0,1,1,48.3699989318848,6.25,16.2999992370605,782
0,1,0,0,1,1,95,3.125,31.5874996185303,713
1,0,1,0,1,1,70,4.5,18.2000007629395,510
0,0,1,0,1,1,64,6,24,738
0,0,1,0,1,1,66.9800033569336,4.25,14.1999998092651,648
0,1,1,0,1,1,57.6500015258789,5.5,17.7000007629395,609
1,0,1,0,1,1,80,6.625,13.8400001525879,631
0,1,0,0,1,1,93.1699981689453,7.25,53.2000007629395,684
0,0,1,0,1,1,53.439998626709,6,14,628
0,0,1,0,1,1,75.6800003051758,5.875,14,735
0,0,1,0,0,1,69.2600021362305,6.625,33.5900001525879,773
0,0,1,0,1,1,80,6.625,20,671
0,0,1,0,0,0,68.2600021362305,5.75,34.1300010681152,782
1,1,1,0,1,1,83.3300018310547,2.75,19.9999008178711,663
0,1,1,0,1,1,80,5.25,22.8400001525879,767
0,0,1,0,1,1,60,6.19999980926514,15.4799995422363,604
1,0,0,0,1,1,79.2399978637695,6.78999996185303,25.992000579834,662
0,0,0,0,1,1,79.8399963378906,6,19.7199993133545,713
1,0,0,0,1,1,80,6.875,28.7999992370605,653
1,1,1,0,1,1,94.0699996948242,5.25,18.1299991607666,731
0,0,1,0,1,1,70,5.59999990463257,84,736
0,0,1,0,1,1,67.8300018310547,7.80000019073486,19.3999996185303,637
0,0,1,1,0,0,16.8899993896484,7.375,4.542799949646,684
0,0,0,0,1,1,75,7.84999990463257,24.75,694
0,0,1,0,1,1,65,4,17.2250003814697,749
0,1,0,0,1,1,79.7300033569336,3.12100005149841,23.2800006866455,761
0,0,1,0,1,1,85,6.5,40.7999992370605,550
0,0,1,0,1,1,72.6399993896484,4.25,38.5,675
1,1,1,0,1,1,80,3.5,22.3999996185303,666
0,0,0,0,1,0,80,3.25,22.3999996185303,788
0,0,0,0,1,1,64.5199966430664,7.125,100,750
1,0,0,0,1,1,99.9499969482422,7.875,20.4899997711182,601
0,0,0,1,1,0,13.3000001907349,11.75,5,663
0,1,0,1,0,0,22.2199993133545,4.125,40,667
0,1,0,0,1,1,86.9599990844727,4.875,10,723
1,1,0,0,1,1,95,7.25,27.5499992370605,690
1,0,0,1,1,0,19.4099998474121,11.75,5.23999977111816,754
1,0,1,1,1,0,15,9.25,4.24499988555908,653
0,1,0,0,1,1,79.6600036621094,6.625,33.0592002868652,713
