WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts,LbrHrs,PartsCost,Payment,Wait,LbrRate,LbrCost,LbrFee,PartsFee,TotalCost,TotalFee,ReqDay,WorkDay
A00100,North,Khan,Assess,,44075,44089,2,,,0.5,360,Account,14,140,70,70,360,430,430,Tue,Tue
A00101,South,Lopez,Replace,,44075,44078,1,,,0.5,90.0416,Account,3,80,40,40,90.0416,130.0416,130.0416,Tue,Fri
A00102,Central,Cartier,Deliver,,44075,44091,1,,,0.25,120,P.O.,16,80,20,20,120,140,140,Tue,Thu
A00103,South,Lopez,Deliver,,44075,44091,1,,,0.25,16.25,Account,16,80,20,20,16.25,36.25,36.25,Tue,Thu
A00104,Northwest,Cartier,Deliver,Yes,44075,44091,1,,,0.25,45.2374,Account,16,80,20,20,45.2374,65.2374,65.2374,Tue,Thu
A00105,South,Lopez,Assess,,44075,44089,1,,,0.25,97.6263,Account,14,80,20,20,97.6263,117.6263,117.6263,Tue,Tue
A00106,Central,Cartier,Assess,,44076,44090,2,,,0.25,29.13,Account,14,140,35,35,29.13,64.13,64.13,Wed,Wed
A00107,South,Lopez,Replace,,44076,44106,1,,,0.75,35.1,Account,30,80,60,60,35.1,95.1,95.1,Wed,Fri
A00108,Northwest,Burton,Deliver,,44076,44105,1,,,0.25,76.7,C.O.D.,29,80,20,20,76.7,96.7,96.7,Wed,Thu
A00109,Central,Khan,Repair,Yes,44076,44110,1,,,1.5,374.0794,C.O.D.,34,80,120,120,374.0794,494.0794,494.0794,Wed,Tue
A00110,West,Burton,Replace,,44076,44173,2,,,4.75,832.1583,Account,97,140,665,665,832.1583,1497.1583,1497.1583,Wed,Tue
A00111,South,Lopez,Deliver,Yes,44077,44097,1,,,0.25,70.213,Account,20,80,20,20,70.213,90.213,90.213,Thu,Wed
A00112,West,Burton,Assess,,44078,44104,1,,,0.5,150,P.O.,26,80,40,40,150,190,190,Fri,Wed
A00113,Central,Michner,Assess,,44078,44128,2,,,1.5,275,C.O.D.,50,140,210,210,275,485,485,Fri,Sat
A00114,Northwest,Khan,Replace,Yes,44078,44145,1,,,0.75,938,C.O.D.,67,80,60,60,938,998,998,Fri,Tue
A00115,South,Lopez,Assess,,44079,44095,1,,,0.25,61.2497,Account,16,80,20,20,61.2497,81.2497,81.2497,Sat,Mon
A00116,West,Burton,Assess,,44079,44096,1,,,1.5,48,C.O.D.,17,80,120,120,48,168,168,Sat,Tue
A00117,Northwest,Burton,Assess,,44081,44084,2,,,0.25,204.284,Account,3,140,35,35,204.284,239.284,239.284,Mon,Thu
A00118,Northwest,Cartier,Replace,,44082,44089,2,,,0.5,240,Account,7,140,70,70,240,310,310,Tue,Tue
